public_identifier;num_accomplishment_publications;name;publisher;published_on;description;url
%C3%A1lvaro-castillo-4b0b8b25;3;03-01;Journal of Sulfur Chemistry;01-01-2012;"Abstract\""A carbon\u2013sulfur molecule has been designed as a mimic of peptides. Density functional theory calculations showed that the oxidation of 10 moles of methanedithiol led to a polydisulfide oligomer, HS (CH 2SS)9CH 2SH. The polydisulfide can adopt an \u03b1 -helix type of secondary structure, where the chain is coiled. Unlike proteins, the S\u2013S bonds in the polydisulfide function as secondary rather than tertiary structural elements. The helix contains 8 non-hydrogen atoms per turn, 2.7 \u00c5 methylenes per turn, a pitch distance of 8.6 \u00c5, and a radius of 1.00 \u00c5. The methylene sites could carry R group residues similar to amino acids.\";http://www.tandfonline.com/doi/abs/10.1080/17415993.2012.700457
%C3%A1lvaro-castillo-4b0b8b25;4;05;Tetrahedron;01-01-2011;AbstractWe present an experimental and computational study of the reaction of aryl substituted benzyl 1-alkynyl sul\ufb01des with potassium alkoxide in acetonitrile, which produces 2-aryl 2,3-dihydrothiophenes in poor to good yields. The cyclization is most ef\ufb01cient with electron withdrawing groups on the aromatic ring. Evidence indicates there is rapid exchange of protons and tautomerism of the alkynyl unit prior to cyclization. Theoretical calculations were also conducted to help rationalize the base induced 5-endo cyclization of benzyl 1-propynyl sul\ufb01de (1a). The potential energy surface was calculated for the formation of 2,3-dihydrothiophene in a reaction of benzyl 1-propynyl sul\ufb01de (1a) with potassium methoxide. Geometries were optimized with CAM-B3LYP/6-311\u00feG(d,p) in acetonitrile with the CPCM solvent model. It is signi\ufb01cant that the benzyl propa-1,2-dien-1-yl sulfane (6) possessed a lower benzylic proton af\ufb01nity than the benzyl prop-2-yn-1-yl sulfane (8) thus favoring the base induced reaction of the former. From benzyl(propa-1,2-dien-1-yl sulfane (6), 2,3-dihydrothiophene can be formed via a conjugate base that undergoes 5-endo-trig cyclization followed by a protonation step.;http://academic.brooklyn.cuny.edu/chem/agreer/Alec's%20pub'ed%20papers/2011%20tetrahedron%20Schwan.pdf
%C3%A1lvaro-castillo-4b0b8b25;5;;ChemBioChem;01-01-2009;Abstractb-Lactam synthetase (b-LS) is the paradigm of a growing class of enzymes that form the critical b-lactam ring in the clavam and carbapenem antibiotics. b-LS catalyzes a two-stage reaction in which N2-(2-carboxyethyl)-l-arginine is first adenylated, and then undergoes intramolecular ring closure. It was previously shown that the forward kinetic commitment to b-lactam formation is high, and that the overall rate of reaction is partially limited to a protein conformational change rather than to the chemical step alone of closing the strained ring. b-Lactam formation was evaluated on the basis of X-ray crystal structures, site-specific mutation, and kinetic and computational studies. The combined evidence clearly points to a reaction coordinate involving the formation of a tetrahedral transition state/intermediate stabilized by a conserved Lys. The combination of substrate preorganization, a well-stabilized transition state and an excellent leaving group facilitates this acyl substitution to account for the strong forward commitment to catalysis and to lower the barrier of four-membered ring formation to the magnitude of a protein conformational change.;http://academic.brooklyn.cuny.edu/chem/agreer/Alec's%20pub'ed%20papers/2009%20ChemBioChem.pdf
%C3%A1lvaro-castillo-4b0b8b25;6;01-04-01-04;Struct Chem;01-01-2009;AbstractTheoretical calculations have been used to examine singlet oxygen release from a naphthalene endoperoxide which bears a \ufb02exible (CH2)22 polymethylene \u2018\u2018lid\u2019\u2019. Monte Carlo and ONIOM calculations that incorporated semi-empirical and density functional theory predicted the conformational in\ufb02uence of the polymethylene chain in the cycloreversion of dioxapaddlane, 1,4-diicosa naphthalene-1,4-endoperoxide, to 1O2 and 1,4-diicosa naphthalene. This study attempts to build a connection between 1O2 generation and \u2018\u2018jump rope\u2019\u2019 dynamics of the dioxapaddlane.The polymethylene chain appears to function as a gatekeeper for the oxygen. Instead of coming full circle, a semi-circle rotation of the polymethylene bridge protected the peroxide group, limiting the dissociation of 1O2 from the naphthalene site.;http://academic.brooklyn.cuny.edu/chem/agreer/Alec's%20pub'ed%20papers/2009%20Jump%20Rope.pdf
%C3%A1lvaro-castillo-4b0b8b25;7;03-04-03-04;Journal of Sulfur Chemistry;01-06-2008;AbstractLittle attention has been focused on radical and diradical formations from compounds that contain both phenol and thiol groups. Computational studies were conducted on radicals and diradicals from mercaptoand bismercaptocatechols to provide insight into their relative stability. The loss of a hydrogen atom from mercapto- or -bismercaptocatechol produces S- and O-centered radicals of similar energy. The loss of two hydrogen atoms from 3,4-bismercaptocatechol (3) is an example where a number of quinone and diradical structures become possible. However, the energetics are consistent with a 4-membered ring dithiete playing an important role in the two electron oxidation reaction of 3;http://academic.brooklyn.cuny.edu/chem/agreer/Alec's%20pub'ed%20papers/2008%20J%20Sulfur%20Chem%20Alvaro2.pdf
%C3%A7a%C4%9Fda%C5%9F-karata%C5%9F-ph-d-5324a46;1;;ACM Mobisys;30-06-2017;Advanced driver assistance systems and, in particular automated driving offers an unprecedented opportunity to transform the safety, efficiency, and comfort of road travel. Developing such safety technologies requires an understanding of not just common highway and city traffic situations but also a plethora of widely different unusual events (e.g., object on the road way and pedestrian crossing highway, etc.). While each such event may be rare, in aggregate they represent a significant risk...;https://www.researchgate.net/publication/317633294_BigRoad_Scaling_Road_Data_Acquisition_for_Dependable_Self-Driving
%C3%A7a%C4%9Fda%C5%9F-karata%C5%9F-ph-d-5324a46;2;;S3 Proceedings of the Eighth Wireless of the Students, by the Students, and for the Students Workshop;03-11-2016;This paper explores the potential for the inertial sensors on head-mounted devices (HMDs) such as Google Glass, and mobile devices to identify driving activities and unsafe driving. Particularly, we study whether the inertial sensors on HMDs, can detect whether their user is operating the vehicle and infer where the driver's visual attention is focused at by tracking the driver's head without relying on cameras on the HMD or the vehicle. Detecting user's vehicle operation through head movements...;http://dl.acm.org/citation.cfm?id=2987369
%C3%A7a%C4%9Fda%C5%9F-karata%C5%9F-ph-d-5324a46;3;;ACM CarSys '16;03-11-2016;Driver distraction due to in-vehicle device use is an increasing concern and has led to national attention. We ask whether it is not more effective to channel the drivers' device and information system use into safer periods, rather than attempt a complete prohibition of mobile device use. This paper aims to start the discussion by examining the feasibility of automatically identifying safer periods for operating mobile devices. We propose a movement-based architecture design to identify...;https://www.researchgate.net/publication/310819382_Towards_safer_texting_while_driving_through_stop_time_prediction
%C3%A7a%C4%9Fda%C5%9F-karata%C5%9F-ph-d-5324a46;4;;IEEE INFOCOM;30-04-2016;Given the increasing popularity of wearable devices, this paper explores the potential to use wearables for steering and driver tracking. Such capability would enable novel classes of mobile safety applications without relying on information or sensors in the vehicle. In particular, we study how wrist-mounted inertial sensors, such as those in smart watches and fitness trackers, can track steering wheel usage and angle. In particular, tracking steering wheel usage and turning angle provide...;https://www.researchgate.net/publication/302570271_Leveraging_Wearables_for_Steering_and_Driver_Tracking
%C3%A7a%C4%9Fda%C5%9F-karata%C5%9F-ph-d-5324a46;5;;Ubicomp;07-10-2015;We present a technique for creating multi-key conductive ink touch user interfaces that can be printed on paper in a single pass. While 3D printing and open-source electronics platforms have led to enormous creativity in creating smart objects, the means for user interaction with such objects are often limited and require remote interaction through a smartphone app. Paper-based touch circuits are a convenient medium for exploring custom touch sensors that can be attached to numerous objects in...;https://www.researchgate.net/publication/281685141_Printing_Multi-Key_Touch_Interfaces?ev=prf_pub
%C3%A7a%C4%9Fda%C5%9F-karata%C5%9F-ph-d-5324a46;6;;Workshop on Wearable Systems and Applications at MobiSys;18-06-2015;null;https://www.researchgate.net/publication/277709706_Toward_Detection_of_Unsafe_Driving_with_Wearables
%C3%A7a%C4%9Fda%C5%9F-karata%C5%9F-ph-d-5324a46;7;;IEEE TRANSACTIONS ON MOBILE COMPUTING;01-01-2015;This paper utilizes smartphone sensing of vehicle dynamics to determine driver phone use, which can facilitate many traffic safety applications. Our system uses embedded sensors in smartphones, i.e., accelerometers and gyroscopes, to capture differences in centripetal acceleration due to vehicle dynamics. These differences combined with angular speed can determine whether the phone is on the left or right side of the vehicle. Our low infrastructure approach is flexible with different turn sizes...;https://www.researchgate.net/publication/282513696_Determining_Driver_Phone_Use_by_Exploiting_Smartphone_Integrated_Sensors
%C3%A7a%C4%9Fda%C5%9F-karata%C5%9F-ph-d-5324a46;8;;Electronics;27-03-2014;null;http://www.mdpi.com/2079-9292/3/1/87/pdf
%C3%A7nicol%C3%ABdawson;1;;null;null;Research and imperial analyses addressing various social, cultural and economic problems in the world.;null
%C3%A9va-balogh-mcclean-jd-27b635110;1;;Hungary;31-12-2007;null;null
%C3%B2scar-g%C3%B4mez-300a43187;1;;0.i0;null;https://pin.it/aiepsfehvunm6b;https://redgyros.io
%C3%B3scar-molina-v-80647611a;1;00;Cactus Pink - Eskeletra;null;Mi cuento La vuelta infinita fue elegido de entre cerca de 100 relatos y fue incluido en esta antolog\u00eda.;http://kafkaescueladeescritores.com/antologiadelanuevaliteraturaecuatoriana/
%C3%B6zge-vargel-b%C3%B6l%C3%BCkba%C5%9F%C4%B1-38796841;1;;eLife;20-04-2018;Recent advances in single-cell transcriptomics techniques have opened the door to the study of gene regulatory networks (GRNs) at the single-cell level. Here, we studied the GRNs controlling the emergence of hematopoietic stem and progenitor cells from mouse embryonic endothelium using a combination of single-cell transcriptome assays. We found that a heptad of transcription factors (Runx1, Gata2, Tal1, Fli1, Lyl1, Erg and Lmo2) is specifically co-expressed in an intermediate population...;https://elifesciences.org/articles/29312
%C3%B6zge-vargel-b%C3%B6l%C3%BCkba%C5%9F%C4%B1-38796841;2;03-02;Scientific Reports / NPG;19-03-2016;Abstract: The endothelial to haematopoietic transition (EHT) is a key developmental process where a drastic change of endothelial cell morphology leads to the formation of blood stem and progenitor cells during embryogenesis. As TGF\u03b2 signalling triggers a similar event during embryonic development called epithelial to mesenchymal transition (EMT), we hypothesised that TGF\u03b2 activity could play a similar role in EHT as well. We used the mouse embryonic stem cell differentiation system for in...;http://www.nature.com/articles/srep21518
%C3%B6zge-vargel-b%C3%B6l%C3%BCkba%C5%9F%C4%B1-38796841;3;01-01;Blood;12-08-2012;Recent studies have established that during embryonic development, hematopoietic progenitors and stem cells are generated from hemogenic endothelium precursors through a process termed endothelial to hematopoietic transition (EHT). The transcription factor RUNX1 is essential for this process, but its main downstream effectors remain largely unknown. Here, we report the identification of Gfi1 and Gfi1b as direct targets of RUNX1 and critical regulators of EHT. GFI1 and GFI1B are able to trigger,...;http://www.bloodjournal.org/content/120/2/314.long?sso-checked=true
%C3%B6zlem-ayse-%C3%B6zg%C3%BCr-72b36872;1;;Routledge;31-12-2013;null;https://books.google.com/books?id=rEEVAgAAQBAJ&pg=PA89&lpg=PA89&dq=ozlem+ayse+ozgur&source=bl&ots=yRkf0g4hPh&sig=4jouvFlv2YD1FWmn02HuY8Z0kEE&hl=en&sa=X&ved=0ahUKEwi195qMqMHJAhUS0GMKHaI7D2s4ChDoAQhHMAg#v=onepage&q=ozlem%20ayse%20ozgur&f=false
%C3%B8s-crunc-tesla-39857434;1;00-08-01-02-00;TTM Academy/TTM Software Applications;25-02-2014;A dictionary of over 1000 physical movements of turntables, knobs or any modulating variable.;https://www.facebook.com/TTMacademy/photos/a.499236556774745.116720.445016248863443/719988264699572/?type=3&permPage=1
%C3%B8s-crunc-tesla-39857434;2;01-01-00;TTM Academy/TTM Software Applications;28-03-2013;Os Crunc Tesla invents the Periodic Matrix of Skraches. The first 900 dj technique learning dictionary instrument.;https://www.facebook.com/photo.php?fbid=546379295393804&set=a.499236556774745.116720.445016248863443&type=3&permPage=1
%C3%B8s-crunc-tesla-39857434;3;01-00;Various Printing Outlets;17-03-2000;"Designed and Scored by Os Crunc aka Dj Raedawn using Adobe Illustrator vectors.:: Descriptions by music historian John Carluccio:: TTM cover art by Ethan Imboden:: Software design by \""DJ\"" Raedawn Phoenix:: Forward by Raedawn, Carluccio and Imboden:: All Transcriptons by Dj RaedawnIn 1999 Dj Raedawn wrote the worlds first book on DJ notation called \""The Fundamentals\"" followed by the \""Turntablist Transcription Methodology 1.0\""; a unique calculus based...";http://www.facebook.com/TTMacademy
%C3%B8s-crunc-tesla-39857434;4;;Orp Productions;31-12-1998;The worlds first book on Scratch Notation :::: All Designs, Writing and Formatting by Os Crunc Tesla aka Dj Raedawn :::: 8 page color paper Book;https://www.facebook.com/TheFundamentalsBook?ref=br_tf
%C3%BClfet-%C3%B6zyabasligil-ralph-a2349320;1;09;Food Network;null;Meeting with Alton Brown was one of the greatest moments in my life!!!! Good Times!;https://www.youtube.com/watch?v=wt0Xdt4GXNc
%C3%BClfet-%C3%B6zyabasligil-ralph-a2349320;2;;The Palate Magazine;null;Palate Magazine covered our underground dinner at City Jail filmed for Illegal Eater for Travel & Leisure Channel. I was the Executive Chef for the event.;http://www.localpalatemag.com/blog/item/l-i-m-e-charleston-dinner-was-supper-in-a-spooky-setting.html
%C3%BClfet-%C3%B6zyabasligil-ralph-a2349320;3;;Bicoastal Cooks;null;null;http://bicoastalcooks.com/chef-interview-series-ulfet-ozyabasligil-ralph/
%C5%82ukasz-%C5%82awrocki-85b8205;1;;SIGMA-NOT;01-03-2011;W artykule przedstawiono now\u0105 metod\u0119 syntezy logicznej przeznaczonejdla matrycowych struktur programowalnych CPLD. Opisywanametoda wykorzystuje elementy znane z roz\u0142\u0105cznej dekompozycji Curtisa,jednocze\u015bnie pozwalaj\u0105c ukierunkowa\u0107 syntez\u0119 logiczn\u0105 na efektywnewykorzystanie elementu XOR. Wst\u0119pne wyniki eksperyment\u00f3w potwierdzaj\u0105skuteczno\u015b\u0107 opracowanej metody syntezy logicznej.S\u0142owa kluczowe: uk\u0142ady programowalne, CPLD, PAL, XOR, syntezalogiczna, dekompozycja.;http://sigma-not.pl/wyszukaj-0-0-10-19371827--lukasz-lawrocki-.html
%C5%82ukasz-%C5%82awrocki-85b8205;2;;PAK Publisher;01-09-2009;This paper presents XOR-based logic synthesis approach for CPLD devices. A novel decomposition-based logic synthesis is introduced in the paper. The method is based on the Curtis functional decomposition and is developed paying special attention to utilizing XOR gates. As opposed to the Curtis functional decomposition, the number of complements of column patterns in described method is known, and it isn\u2019t greater than four. This feature allows carrying out the process of decomposition using...;http://www.pak.info.pl/index.php?menu=artykulSzczegol&idArtykul=1323
%C5%BEsu%C5%BEsana-davidson-b8079b69;1;;NAHA Aromatherapy Journal;null;null;http://theida.com/ew/wp-content/uploads/2010/10/Living-with-Epilepsy-and-Aromatic-Oils.pdf
%D0%B0%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D0%B8%D0%B9-%D0%B4%D0%B0%D1%80%D0%B0%D0%BA%D0%BE%D0%B2-53b08188;1;0414-0430-0440-0430-043-043-0432-0410-041-0443-0437-043-0435-0446-043-0432-0421-041-0430-043-0432-0435-0441-0442-0438-0431-043-043-044-0448-0438-0435-043-0440-043-0435-043-0442-044-0411-0430-043-043-0438-0438-0442-0435-0445-043-043-043-043-0433-0438-0438-2013-1998-2013-04-2013-0421-22-2013-26;\u0411\u0430\u043d\u043a\u0438 \u0438 \u0422\u0435\u0445\u043d\u043e\u043b\u043e\u0433\u0438\u0438;01-01-1998;\u043f\u0440\u0438\u043d\u0446\u0438\u043f\u044b \u0438 \u043c\u0435\u0442\u043e\u0434\u044b \u043f\u0440\u043e\u0435\u043a\u0442\u0438\u0440\u043e\u0432\u0430\u043d\u0438\u044f \u0438\u043d\u0444\u043e\u0440\u043c\u0430\u0446\u0438\u043e\u043d\u043d\u044b\u0445 \u0430\u0432\u0442\u043e\u043c\u0430\u0442\u0438\u0437\u0438\u0440\u043e\u0432\u0430\u043d\u043d\u044b\u0445 \u0441\u0438\u0441\u0442\u0435\u043c \u0434\u043b\u044f \u043a\u0440\u0443\u043f\u043d\u044b\u0445 \u0431\u0430\u043d\u043a\u043e\u0432;null
%7Eadam-humphreys%7E-35a9484;1;2008-2013;February 10, 2014;10-02-2014;A novel;www.adamhump.com/purg.html
%7Elagus;1;;Annual Convention of the American Speech-Language-Hearing Association 2020;10-08-2020;"Presenters (Lagus, Jilliane; Jones, Corinne) (2020, November). Proposal Number: 11844. Presentation Title. Measures of Swallowing Physiology: Benefits and Challenges for Dysphagia Evaluation and Clinical Practice. Proposal accepted at the Annual Convention of the American Speech-Language-Hearing Association, San Diego, CA (Convention canceled).";null
%7Elagus;2;;American Speech-Language-Hearing Association Convention 2019;30-11-2019;null;null
%7Elagus;3;;November 15, 2018;15-12-2018;American Speech-Language Hearing Association Convention 2018 Poster Presentation. Presenter.;null
%7Elagus;4;;American  Speech-Language Hearing Association;31-03-2016;Authors: Ulatowska,  H.,  Walsh,  D.,  Santos,  T.,  Paul,  K.,  & Lagus,  J.F.;null
%7Elagus;5;;De La Salle University Manila (Conference Presentation);30-09-2015;Authors: Lagus,  J.F.,  &  Villasor,  R.;null
%7Elagus;6;;National Institutes of Health;31-03-2013;Authors: Cabatan,  M.C.,  Madriaga,  G.  Guevarra,  J.,  & Lagus,  J.F.;null
%7Eminoh;1;;Scientific Reports;01-04-2020;null;https://www.nature.com/articles/s41598-020-63159-5
%7Eminoh;2;;BioMed Research International;01-02-2020;null;https://www.hindawi.com/journals/bmri/2020/8531502/
%7Eminoh;3;;Environment international;01-07-2019;null;https://www.sciencedirect.com/science/article/pii/S0160412019301874
%7Eminoh;4;;FEMS Microbiology Ecology;01-01-2018;null;https://academic.oup.com/femsec/article/94/7/fiy079/4987204
%7Eminoh;5;;BMC Bioinformatics;01-01-2017;null;https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-017-1558-3
%7Eminoh;6;;Molecular BioSystems;01-01-2017;null;https://pubs.rsc.org/en/content/articlelanding/2017/mb/c7mb00059f/unauth#!divAbstract
%7Eminoh;7;;Expert Systems with Applications;01-01-2017;null;https://www.sciencedirect.com/science/article/pii/S0957417417303615
%7Eminoh;8;;Journal of Korean Institute of Information Technology (JKIIT);01-01-2016;null;http://www.dbpia.co.kr/Journal/ArticleDetail/NODE07012352
%7Eminoh;9;;Journal of the Korea Society of Computer and Information;01-01-2016;null;http://www.dbpia.co.kr/Journal/ArticleDetail/NODE06597827
%7Eminoh;10;;Journal of the Korea Society of Computer and Information;01-01-2016;null;http://www.dbpia.co.kr/Journal/ArticleDetail/NODE06647120
%7Eminoh;11;;Journal of Korean Institute of Information Technology (JKIIT);01-01-2016;null;http://www.dbpia.co.kr/Journal/ArticleDetail/NODE06716002
%7Eminoh;12;;Journal of Korean Institute of Information Technology (JKIIT);01-01-2015;null;http://www.dbpia.co.kr/Journal/ArticleDetail/NODE06140704
%7Eminoh;13;;Journal of the Korean Society of Computer and Information;01-01-2015;null;http://www.koreascience.or.kr/article/ArticleFullRecord.jsp?cn=CPTSCQ_2015_v20n2_137
%7Eminoh;14;;PloS one;01-01-2014;null;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0111668
%7Eminoh;15;;Journal of Korean Institute of Information Technology (JKIIT);01-01-2013;null;http://www.dbpia.co.kr/Journal/ArticleDetail/NODE02321027#
%7Eminoh;16;;Scientific Reports;null;null;https://www.nature.com/articles/s41598-020-63159-5
%7Exingyu-wang;1;;Journal of Computational Physics;09-03-2018;null;https://www.sciencedirect.com/science/article/pii/S0021999118300809
%7Exingyu-wang;2;2013;Journal of Computational Physics, 2016;19-05-2016;null;http://www.sciencedirect.com/science/article/pii/S0021999116300833
%C3%97amanda-schreiber-a29bb6ab;1;;Xlibris;24-02-2013;Iron Walls is a published book of 50 of my greatest poems.;null
%C3%A1ndrea-pentabona-945a154a;1;;Boston Chefs;01-05-2019;An interview with Boston Chefs reporter on my thoughts regarding the restaurant industry;https://www.bostonchefs.com/news/2019/04/05/service-bar-chat-andrea-pentabona/
%C3%A1ndrea-pentabona-945a154a;2;;Dig Boston;01-02-2019;null;https://digboston.com/speaking-up-bystander-apathy-intervention-workshop-comes-to-somerville/
%C3%A1ndrea-pentabona-945a154a;3;;Learn2Serve;01-01-2019;null;https://www.learn2serve.com/blog/top-influential-women-bartending/
%C3%A1ndrea-pentabona-945a154a;4;;Mel Magazine;01-03-2018;null;https://medium.com/mel-magazine/if-more-than-half-of-american-bartenders-are-women-why-is-the-craft-cocktail-industry-dominated-by-4f0019a7a23f
%C3%A1ndrea-pentabona-945a154a;5;;Boston Magazine;01-01-2017;null;https://www.bostonmagazine.com/restaurants/2017/01/19/drink-this-now-uni-japanese-highball/
%C3%A1ndrea-pentabona-945a154a;6;151;Eater Boston;01-01-2017;null;https://boston.eater.com/2017/1/27/14407254/brother-cleve-rum-townshend-quincy
%C3%A7i%C4%9Fdem-sheffield-ba976747;1;2014-201;CRC press;null;Book chapter;http://www.crcnetbase.com/isbn/9781439860601
%C3%A7i%C4%9Fdem-sheffield-ba976747;2;;NATO Science for Peace and Security Series - C: Environmental Security by Springer;null;Proceedings of the NATO Advanced Study Institute on Assessment of Hydrogen Energy for Sustainable Development: Energy and Environmental Security, Istanbul, Turkey, 7-10 August 2006.;null
%C3%A9ric-desfoss%C3%A9s-09b3706;1;08;Microsoft Developer Network (MSDN);21-02-2013;Co-author section on Creating Custom Controls for Windows 8 applications.;http://blogs.msdn.com/b/windowsappdev/archive/2013/01/21/building-the-bing-apps-for-windows-8.aspx
%C3%A9va-kneip-5959b512;1;;Biological Conservation;31-05-2016;null;null
%C3%A9va-kneip-5959b512;2;;PLoS ONE;31-12-2011;null;http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0034379
%C3%A9va-kneip-5959b512;3;;Journal of Mammalogy;31-12-2010;null;http://www.bioone.org/doi/abs/10.1644/10-MAMM-A-156.1
%C3%A9va-szeli-23043b6;1;;Kendall Hunt;31-12-2010;An edited, brief volume of introductory psychology topics which focuses on social and behavioral (versus physiological) elements of human experience, including development, learning, memory, intelligence, motivation, emotion, personality, clinical, and social psychology.;http://www.amazon.com/Introduction-Psychology-Social-Behavorial-Perspective/dp/075758697X/ref=sr_1_4?ie=UTF8&qid=1338095135&sr=8-4
%C3%A9va-szeli-23043b6;2;;Kendall Hunt;31-12-2010;A collection of articles, cases, and statutes from primary sources -- each followed by questions for reflection/discussion -- covering areas of intersection between psychology and law, including civil commitment, competencies, insanity, eyewitness testimony, confidentiality & privilege, psychology of the courtroom, and family law.;http://www.amazon.com/Psychology-Law-An-Undergraduate-Reader/dp/0757586988/ref=sr_1_1?ie=UTF8&qid=1338095135&sr=8-1
%C3%A9va-szeli-23043b6;3;;UNESCO;31-12-2007;This latest volume is one in a series of UNESCO books on ethics themes providing an international and interdisciplinary perspective on all aspects of law and medical ethics. The volume provides updated case analyses of classic mental health, ethics and the law issues such as involuntary civil commitment, institutional rights (including sexual interaction, the refusal of treatment and deinstitutionalization), tort law, the criminal process, and all aspects of informed consent law.;http://www.forensic-psych.com/articles/originals/Psychiatric%20Ethics%20and%20the%20Rights%20of%20Persons%20with%20Mental%20Disabilities%20in%20Institutions%20and%20the%20Community.pdf
%C3%A9va-szeli-23043b6;4;;Carolina Academic Press;31-12-2005;"This is the first and only casebook that considers the intersection between international human rights law and comparative mental disability law; it provides a systematic investigation of all of the relevant issues. Topics covered include a comparison of civil and common law systems, an overview of international human rights law, an overview of regional human rights tribunals, an overview of U.S. constitutional mental disability law, mental disability law in an international human rights...";http://www.amazon.com/International-Rights-Comparative-Mental-Disability/dp/1594602107/ref=sr_1_5?s=books&ie=UTF8&qid=1338096011&sr=1-5
%C3%A9va-szeli-23043b6;5;;Feminist Review;31-12-2003;People with mental disabilities face discrimination and abuse around the world. Children and adults with mental disabilities have been routinely and arbitrarily detained in psychiatric facilities, social care homes, orphanages, and other closed institutions throughout Central and Eastern Europe and the Newly Independent States (CEE/NIS).  This article examines the triple-discrimination faced by women with mental disabilities and the violence that is often perpetrated against them. ...;http://www.palgrave-journals.com/fr/journal/v76/n1/pdf/9400134a.pdf
%C3%B3scar-lara-yejas-36700058;1;;CRC Press;null;Developed from the authors\u2019 nearly four years of rigorous research in the field, the book covers the theory, fundamentals, and applications of human activity recognition (HAR). The authors examine how machine learning and pattern recognition tools help determine a user\u2019s activity during a certain period of time. They propose two systems for performing HAR: Centinela, an offline server-oriented HAR system, and Vigilante, a completely mobile real-time activity recognition system. The book also provides a practical guide to the development of activity recognition applications in the Android framework.;http://www.crcpress.com/product/isbn/9781466588271
%C3%B6zden-ernalbant-4a3b4379;1;360;INESJOURNAL;31-03-2015;null;http://www.inesjournal.com/index.jsp?mod=makale_ing_ozet&makale_id=37431
%C3%B6zg%C3%BCr-gen%C3%A7-7864ab68;1;;eLife;null;null;https://elifesciences.org/articles/55775
%C3%B6zg%C3%BCr-gen%C3%A7-7864ab68;2;;Current Biology;null;null;https://www.cell.com/current-biology/fulltext/S0960-9822(19)31198-4
%C3%B6zg%C3%BCr-gen%C3%A7-7864ab68;3;;eLife;null;null;https://www.ncbi.nlm.nih.gov/pubmed/30422113
%C3%B6zg%C3%BCr-gen%C3%A7-7864ab68;4;;eLife;null;null;http://dx.doi.org/10.7554/eLife.22904
%C3%B6zg%C3%BCr-gen%C3%A7-7864ab68;5;;Neuron;null;null;http://www.ncbi.nlm.nih.gov/pubmed/25704950
%C3%B6zg%C3%BCr-gen%C3%A7-7864ab68;6;18-01;eLife;null;null;http://www.ncbi.nlm.nih.gov/pubmed/24520164
%C3%B6zg%C3%BCr-gen%C3%A7-7864ab68;7;03-01;Acta Neuropathologica;null;null;http://www.ncbi.nlm.nih.gov/pubmed/22361813
%C3%B6zg%C3%BCr-ozan-k%C4%B1l%C4%B1%C3%A7-154a7676;1;;\u0130EEE CLUSTER;23-09-2019;"Abstract:Knowing a loop's footprint - the unique data items it accesses - enables important locality and capacity analysis. Unfortunately, current methods for computing footprint cause integer factors of slowdown and are therefore difficult to use with realistic inputs. Current methods are slow because they are based on software tracing of load instructions and data addresses. We present an approach that combines lightweight measurements and static binary analysis. We use static analysis to reason about each load's expected reuse. We then calculate the footprint for each loop using inference rules informed by measurements from common performance counters. We validate our method on benchmarks that vary access patterns (strided vs. unpredictable), reuse (varying and repeated accesses per element), and sparsity (all words in a cache line vs. some). For strided patterns, errors are within 1%; for unpredictable ones, errors are 5-10%. Our overheads are under 10%. A tool based on software tracing has an error of less than 1%, but either introduces at least 130\u00d7 overhead or hangs.";https://ieeexplore.ieee.org/abstract/document/8891025
%C3%B6zg%C3%BCr-ozan-k%C4%B1l%C4%B1%C3%A7-154a7676;2;;ProQuest;01-08-2019;null;https://search.proquest.com/openview/05bc212f490217a2d5293581054b2b51/1?pq-origsite=gscholar&cbl=18750&diss=y
%C3%B6zg%C3%BCr-ozan-k%C4%B1l%C4%B1%C3%A7-154a7676;3;;IEEE MASCOTS 2018;25-09-2018;Abstract: Virtual Machines (VM) frequently run parallel applications in cloud environments, and high performance computing platforms. It is well known that configuring a VM with too many virtual processors (vCPUs) worsens application performance due to scheduling cross-talk between the hypervisor and the guest OS. Specifically, when the number of vCPUs assigned to a VM exceeds available physical CPUs then parallel applications in the VM experience worse performance, even when number of application threads remains fixed. In this paper, we first track the root cause of this performance loss to inefficient hypervisor-level emulation of inter-vCPU synchronization events. We then present three techniques to minimize hypervisor-induced overheads on parallel workloads in large-VCPU VMs. The first technique pins application threads to dedicated vCPUs to eliminate inter-vCPU thread migrations, reducing the overhead of emulating inter-processor interrupts (IPIs). The second technique para-virtualizes inter-vCPU TLB flush operations. The third technique enables faster reactivation of idle vCPUs by prioritizing the delivery of rescheduling IPIs. Unlike existing solutions which rely on heavyweight and slow vCPU hotplug mechanisms, our techniques are lightweight and provide more flexibility in migrating large-vCPU VMs. Using several parallel benchmarks, we demonstrate the effectiveness of our prototype implementation in the Linux KVM/QEMU virtualization platform. Specifically, we demonstrate that with our techniques, parallel applications can maintain their performance even when up to 255 VCPUs are assigned to a VM running on as few as 6 physical cores.;https://ieeexplore.ieee.org/document/8526900/authors
%C4%91%C3%B4%CC%80ng-tha%CC%89o-35115516;1;;null;null;null;http://www.getyoungerface.jeunesseglobal.com/
