public_identifier;num_accomplishment_organisations;starts_at;ends_at;org_name;title;description
aaron-goh-a59abaa4;8;31-03-2015;null;Model Student Award;Singapore Polytechnic;Representing Singapore Maritime Academy, awarded for outstanding academic performance and co-curricular achievements in Singapore Polytechnic.
aaron-goh-a59abaa4;9;28-02-2015;null;SG50 Local Champions, Global Leaders - National Competition 2nd Runner Up;SPRING Singapore;Every business has a story. Through Local Champions, Global Leaders, more than 300 students come together to tell the stories of more than 70 companies in a variety of medium \u2013 film, print, sculpture, and more \u2013 in the first national business competition for SG50.YangGohsLim (YGL) partnered with Stamford Media International Pte Ltd to curate stories delivered through animation and architectural design featuring the warmth of a home. Utilised our strength and niche abilities to connect...\nEvery business has a story. Through Local Champions, Global Leaders, more than 300 students come together to tell the stories of more than 70 companies in a variety of medium \u2013 film, print, sculpture, and more \u2013 in the first national business competition for SG50.YangGohsLim (YGL) partnered with Stamford Media International Pte Ltd to curate stories delivered through animation and architectural design featuring the warmth of a home. Utilised our strength and niche abilities to connect with the wider audience physically through our booth as well as through social media platforms.\nShow moreShow less
aaron-goh-a59abaa4;10;30-06-2013;null;Singapore Polytechnic Scholarship;Singapore Polytechnic;"SP Scholarship - AY 2013/2014 & AY 2014/2015.The SP Scholarship is awarded to high calibre individuals who demonstrate academic excellence, present excellent co-curricular activities records and exhibit outstanding leadership qualities. It presents boundless opportunities which propelled my learning journey with SP into an exciting and meaningful one. Simultaneously, undermining the importance of  a \""T-Learner\""."
aaron-goh-a59abaa4;11;31-05-2013;null;Director's Honour Roll 2012-2015;Singapore Polytechnic;Consecutively ranking in the Director's Honour List from AY 2012/2013 through AY 2014/2015 for meritorious academic performance (top 10%) in my course of study.
aaron-goh-a59abaa4;12;30-04-2013;null;Singapore Maritime Academy Prize;Singapore Maritime Academy;Merit Award for Academic Year 2013/2014. Awarded for meritorious academic performance in my course of study during the 2012/2013 session.
aaron-goy-953aa038;1;01-11-2013;01-02-2014;NCS Pte Ltd;Intern;null
aaron-ho-2a715b136;1;31-10-2015;null;Excellence Award (Certified);Hope Church SIngapore;null
aaron-ho-2a715b136;2;31-07-2015;null;School of Information Technology Street Soccer League;null;3rd Position, Bronze Medal
aaron-percival-nazareth-2522a1115;1;31-01-2015;null;New Zealand Institute of Architects;Member;null
aaron-seah-83315061;1;31-10-2007;null;First Prize \u201cRuffles\u201d in student category at Global Junior Challenge, Rome of Italy;null;null
aaron-seah-83315061;2;31-07-2007;null;Second Place  \u201cRuffles\u201d  animation for DigiCon6+3 Territorial Award in Singapore;Katsuji Ikkatai, Vice President, Director of Computer Graphics, TBS;null
aaron-yap-a3106469;1;31-01-2007;null;Association of Asian aerospace professionals (AAAP);Associate member;Contributed to the design stage and content of the website when it was first launched in 2007-2008.
aaronenriquez;1;30-04-2014;null;Special Citation for Outstanding Research Output in Network Administration;College of Information and Communications Technology (CICT);A Special Citation award given for Outstanding Research Output in College of Information and Communications Technology with Area of Specialization in Network Administration for the Academic Year 2013 - 2014 in their Course Requirement (Network Independent Study).Position: System Administrator
aaronenriquez;2;;null;Dean's Lister;Holy Angel University;Recognition for outstanding academic achievement among college students every semester with the publication of honor roll and through awarding of Certificates of Academic Excellence. A semestral weighted grade point average of 1.26 to 1.75 with a minimum grade of 2.0 qualifies for the Dean's List.A.Y 2013 - 2014 (Second Semester)
aaronkoks;1;30-04-2009;null;Director's List;Nanyang Polytechnic;Performed well academically in semester 2.
aaronkoks;2;31-12-2008;null;Director's List;Nanyang Polytechnic;Performed well academically in semester 1.
aaronlowjunjie;1;01-05-2016;30-04-2018;BA Cares;Executive Committee as an Event Organiser;BA Cares, Ngee Ann PolytechnincExecutive Committee as an Event Organiser\u25022017-2018\u2022\tPlanned and executed a successful annual Inauguration for freshmen, which includes planning of activities and helping out in managing of logistics for the event held at Sentosa with 80 participants.\u2022\t Liaised with external organizations such as Thye Hua Kwan to organize weekly volunteering events or projects catered to BA Cares\u2019s members\u2022\tInvolved in a 3 day recruitment drive and successfully recruited 180 new club members\u2022\tTook charge of planning and executing Chinese New Year celebration with the elderly at Thye Hua Kwan Henderson which involved lecturers from the School of Business and Accountancy and also the Director of the School of Business and Accountancy, Ms Anna YapSubcommittee and member\u25022016-2017\u2022\tCarried out a 3-day bonding camp as a Head of Station Games for 60 participants with about 20 helpers\u2022\tled a team of 6 student volunteers as a group leader and provided interactive activities such as sing-a-long sessions for the patients for a Christmas Party at St. Luke\u2019s Community Hospital\u2022\tWorked and helped closely with organisers of Muhammadiyah welfare home to plan their 10th annual futsal tournament by providing 8 student volunteers to help out in their manpower shortage.
aaronong-278;1;31-08-2017;null;College Scholarship;null;null
aaronong-278;2;30-09-2016;null;102/15 UAV Command Sword of Honor;Republic of Singapore Air Force;Graduated top from the 25th ROS Commander Course.
aaronong-278;3;30-04-2012;null;Temasek Polytechnic Scholarship;null;null
aaronong-278;4;;null;Director\u2019s list;null;Top 10% of the Diploma of Psychology Studies cohort for the academic year 2012
aarushimagan;1;30-04-2013;null;Best Subcommittee Member - Fundraising;Red Cross Youth NTU Chapter;Awarded this title within my 1st year as part of the Red Cross Youth NTU Chapter, for my active involvement in the club's fundraising (and other) activities within and without the university.
aarushimagan;2;31-05-2012;null;ISC Grade 12 Mumbai Topper in the field of Science;Government of India;I was awarded this honor upon my overall score of 97.07% (Best of 4 score: 98.25%) being the highest achieved by any student in the city of Mumbai in the Indian School Certificate (ISC) Grade 12 Board Examinations.
aarushimagan;3;30-04-2012;null;Jamanabai Narsee School Student of the Year 2012;Jamnabai Narsee School;I was awarded this title in lieu of my academic proficiency as well as extra-curricular experience during high school.
aashadh;1;;null;Project Management Institute;null;null
aashishmittal;1;31-10-2013;30-04-2014;Toastmasters International;Professional Member;null
aayush-madaan-gold-medallist-1000402a;1;30-09-2019;null;Best Paper Award;Optoelectronics Global Conference 2019;Awarded with the Best Paper Award for presenting a research paper in Optoelectronics Global Conference 2019 held in Shenzhen China.
aayush-madaan-gold-medallist-1000402a;2;30-09-2019;null;Certificate of Completion;Nanyang Technological University Singapore;Awarded with Certificate of Completion from Centre for Excellence in Learning andTeaching NTU for successfully completing the Eight-module University Teaching Courseand Assessment.
aayush-madaan-gold-medallist-1000402a;3;31-01-2015;null;Gold Medallist 2014;Malaviya National Institute of Technology Jaipur;Secured CGPA 9.42 and awarded Gold Medal by Scientist Padm Vibhushan Dr Kakodkar, Former Chairman BARC and  Former Atomic Energy Commission of India.
aayush-madaan-gold-medallist-1000402a;4;31-05-2013;null;TECH RACE 2013;MALARDALEN UNIVERSITY, VASTERAS, SWEDEN;Participated in TECH RACE 2013, Sccessfully passed and got Certified.
aayush-madaan-gold-medallist-1000402a;5;31-05-2011;null;Microsoft Digital Literacy Test;Microsoft;null
aayush-madaan-gold-medallist-1000402a;6;31-05-2011;null;Semi-Finalist from INDIA in DSIC;University Of Texas, Austin, USA;DSIC, an international Innovation business plan competition, conducted by UT AUSTIN and sponsered by DELL.In 2011, I participated and selected as a semi-finalist from India.
%C3%A7a%C4%9Fr%C4%B1-toktam%C4%B1%C5%9F-221194b5;1;31-07-2013;null;Honour Student;Y\u0131ld\u0131z Technical University;Recognized for holding high academic score, GPA above 3.0 over 4.0
%D9%85%D8%AD%D9%85%D8%AF-%D8%B9%D8%A7%D9%81%D9%8A%D9%82-%D8%A7%D8%A8%D9%86-%D9%85%D8%AD%D9%85%D8%AF-%D8%A7%D8%B1%D8%B4%D8%A7%D8%AF-%D8%A7%D8%A8%D9%86-%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85-%D8%A7%D8%A8%D9%86-%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87-226a3299;1;30-09-2010;null;Land Surveyors Board Scholarship (LSB scholarship);Land Surveyor's Board;null
%E4%BC%A0%E9%9C%9E-%E9%83%91-80a3b8110;1;31-12-2013;null;\u5168\u56fd\u7535\u5b50\u8bbe\u8ba1\u5927\u8d5b\u56fd\u5bb6\u4e8c\u7b49\u5956;\u5168\u56fd\u5927\u5b66\u751f\u7535\u5b50\u7ade\u8d5b\u7ec4\u7ec7\u59d4\u5458\u4f1a;\u5168\u56fd\u7535\u5b50\u8bbe\u8ba1\u7ade\u8d5b\u201c\u56db\u65cb\u7ffc\u98de\u884c\u5668\u201d\u8bbe\u8ba1\u7ec4\uff0c\u83b7\u5317\u4eac\u5e02\u4e00\u7b49\u5956\uff08\u5317\u4eac\u5e02\u7b2c\u4e00\u540d\uff09\u3001\u5168\u56fd\u4e8c\u7b49\u5956\u6210\u7ee9\u3002
%E4%BC%A0%E9%9C%9E-%E9%83%91-80a3b8110;2;31-07-2013;null;\u5168\u56fd\u5927\u5b66\u751f\u201c\u98de\u601d\u5361\u5c14\u201d\u676f\u667a\u80fd\u6c7d\u8f66\u7ade\u8d5b\u534e\u5317\u8d5b\u533a\u4e8c\u7b49\u5956;\u201c\u98de\u601d\u5361\u5c14\u201d\u676f\u667a\u80fd\u6c7d\u8f66\u7ade\u8d5b\u7ec4\u59d4\u4f1a;\u5168\u56fd\u5927\u5b66\u751f\u201c\u98de\u601d\u5361\u5c14\u201d\u676f\u667a\u80fd\u6c7d\u8f66\u7ade\u8d5b\uff0c\u4f5c\u4e3a\u9879\u76ee\u8d1f\u8d23\u4eba\uff0c\u4e3b\u8981\u8d1f\u8d23\u81ea\u52a8\u5de1\u7ebf\u548c\u63a7\u5236\u7b97\u6cd5\u8bbe\u8ba1\u3002
%E5%88%98%E5%BE%B7%E6%B6%8C-teik-yong-liew-083b0262;1;31-05-2014;null;Top 10 Finalist;Young CSR Leaders Award Competition;Top 10 Finalist for Young CSR Leaders Award Competition 2014
%E5%88%98%E5%BE%B7%E6%B6%8C-teik-yong-liew-083b0262;2;31-01-2013;null;Campus Finalist;L'Oreal BrandStorm 2013;Campus Finalist for L'Oreal Brandstorm 2013 case competition
%E5%B2%ADling-%E8%A2%81yuan-401a8214a;1;31-12-2013;null;CPC;IBM;Achieved 10 Million USD / year revenue, 30% annual growth rate.
%E5%B2%ADling-%E8%A2%81yuan-401a8214a;2;31-12-2004;null;CPC (Champion Club) record;NCR;2003-2004 achieve revenue target 45M USD, 2 years over achieved 30% quota
%E5%B2%ADling-%E8%A2%81yuan-401a8214a;3;31-12-2002;null;Awards of Customer Satisfaction;NCR;2001-2002, led regional salesman exceeded financial target and achieved \u201cAwards of Customer Satisfaction\u201d by increased 20% financial solution business on BOCOM,SPB
%E5%BC%A0%E5%9C%86-zhang-yuan-78007758;1;;null;Personal Achievements;null;AccoladesMillion Dollar Round Table (2018,2019)Centurion Club (2018,2019)Million Dollar Club Platinum (2015, 2016, 2017)Rising Star (2014)Summit Club (2015, 2016, 2017, 2018)
%E6%80%9D%E5%A6%AE-%E6%BD%98-4789b9118;1;31-05-2016;null;\u6de1\u6c5f\u5927\u5b78\u7b2c\u4e09\u5341\u4e8c\u5c46\u4e94\u864e\u5d17\u6587\u5b78\u734e\u6563\u6587\u7d44\u63a8\u85a6\u734e;\u6de1\u6c5f\u5927\u5b78\u6587\u5b78\u9662;null
%E6%80%9D%E5%A6%AE-%E6%BD%98-4789b9118;2;31-05-2013;null;\u6de1\u6c5f\u5927\u5b78\u7b2c\u4e8c\u5341\u4e5d\u5c46\u4e94\u864e\u5d17\u6587\u5b78\u734e\u6563\u6587\u7d44\u4f73\u4f5c;\u6de1\u6c5f\u5927\u5b78\u6587\u5b78\u9662;null
%E6%B1%90%E9%9F%B3-%E5%9C%9F%E5%B1%8B-a8906717b;1;31-07-2020;null;Best Consultant of the Quarter  Quarter 2 2020;null;null
%E6%B1%90%E9%9F%B3-%E5%9C%9F%E5%B1%8B-a8906717b;2;30-04-2020;null;Best Consultant of the Month April 2020;null;null
%F0%9F%87%BA%F0%9F%87%B8-frank-t-troise-%F0%9F%87%B8%F0%9F%87%AC-1b3914;1;31-01-2016;null;FinTech Asia 100;NextBank;The premiere list of Asia's leading FinTech innovators and executives  http://www.fintechfinals.com/fintechasia100/
%F0%9F%92%AC-vanessa-lam-1a378b96;1;30-09-2015;null;NUS Business School Colours Award- Silver;null;Awarded for outstanding contributions to NUS Business School in the field of student activities
%F0%9F%92%AC-vanessa-lam-1a378b96;2;;null;Business School Study Award;null;Awarded by NUS Business School for AY2014/15
-snehamenon;1;01-01-2021;null;French Hexagon Society;Member;null
-snehamenon;2;01-08-2018;null;CAC Amplified;Vocalist;null
-snehamenon;3;01-08-2018;null;CFA Jazz Band;Vocal Section Leader, Treasurer AY 19/20;null
-snehamenon;4;01-08-2018;null;Exxon Mobil Campus Concerts;Branding Team Member;Blog writing for EMCC's outreach.
-snehamenon;5;01-02-2019;31-05-2020;Students' Community Service Club;Marketing Assistant, T.H.E.S Major Outing (2019);Generated leads to source refreshments for 100 event volunteers and elderly participants each, aiding with successful sponsorships for the event.Assisted with programme facilitation on the day of the event, engaging with the elderly participants as part of the mini-golf game station.
23jacob;1;;null;Chartered Institute of Public Relations;-;null
2b1768159;1;30-06-2019;null;Most improved GPA award;null;null
2b1768159;2;31-08-2016;null;Tuition Grant Scheme;null;null
4rohitpatil;1;31-07-2020;null;AWS Hackdays online 2020 Singapore;Agorize Asia;Participated in online hackathon to build a solution around today\u2019s industry challenges using AWS services.
4rohitpatil;2;31-12-2017;null;Star performer;DBS Bank;Optimized the APIs by increasing the robustness, scalability, and flexibility.Enhanced the quality of deliverables with automated unit, integration and load tests.Engineered automation in user acceptance tests.
4rohitpatil;3;31-08-2017;null;Rockstar Rookie;DBS Bank CST;Q2 Individual Award for excellent contributions in Data Analytics.Streamlined automation by improving continuous integration continuous delivery pipelines.
4rohitpatil;4;30-06-2017;null;Star performer;DBS Bank;Built a generic and flexible framework to optimize ETL Jobs.
4rohitpatil;5;31-08-2014;null;Smart Employee Award;SmartCloud Infotech;Designed and developed flexible and robust web service APIS for the mobile platform.
4rohitpatil;6;31-07-2013;null;Smart Employee Award;SmartCloud Infotech;Optimized and revamped mobile backend to increase robustness and fault-tolerance.
99thwish;1;31-01-2015;null;Valuable Contributor - 2014;L&T Infotech;Dependability is another name of Vishal Yadav. He is a living example of one of the seven values of our organization. His proactive attitude and dedication towards the team ensures delivery of many complex objects. Stringent factory deadline do not budge him and he is always right on schedule for all his deliverable. His solutions are out-of-the-box and delight the end customers. Apart from his own deliverable, he also extends a helping hand to other project. His Can-Do and Will-Do attitude has...\nDependability is another name of Vishal Yadav. He is a living example of one of the seven values of our organization. His proactive attitude and dedication towards the team ensures delivery of many complex objects. Stringent factory deadline do not budge him and he is always right on schedule for all his deliverable. His solutions are out-of-the-box and delight the end customers. Apart from his own deliverable, he also extends a helping hand to other project. His Can-Do and Will-Do attitude has won him many accolades and makes him come out shining in any situation.\nShow moreShow less
99thwish;2;31-01-2014;null;Valuable Contributor - 2013;L&T Infotech;Vishal has been working on EMpower for more than 3 years and has developed complex applications. He is very dedicated and enthusiastic in his work. His ability to learn and apply the knowledge and provide suggestions has helped in difficult scenarios. He provided help to team members in achieving their tasks. He is looked as the go-to-person for technical solution for HCM process by the team.
99thwish;3;;null;Pat on Back;Larsen and Toubro Infotech;null
99thwish;4;;null;Star Award;Larsen and Toubro Infotech;null
a-a-kais-76942b1b;1;;null;Dhaka Bar Association;Member;null
aakash-sardana-23b150aa;1;30-11-2014;null;LSESU Singapore Society;Constitutional Officer;null
aakash-sardana-23b150aa;2;30-09-2015;null;United Kingdom Singapore Law Students' Society;President;null
aakash-sardana-23b150aa;3;31-10-2014;null;LSESU ThinkTank;Treasurer;null
aakash001;1;31-03-2017;null;Finalist (Top 6 in 350+ teams) at Tata Crucible Business Quiz, Bengaluru;null;http://www.tatacrucible.com/campus/report2017/bang.html
aakash001;2;30-09-2016;null;National 2nd Runners Up (in 100+ teams), Bidwiser (live auction strategy game), IIM Bangalore;null;null
aakash001;3;31-08-2016;null;National Runners Up (in 100+ teams), Wipro Sustainability Quiz, IIM Bangalore;null;null
aakash001;4;31-07-2013;null;Academic Excellence , IIT Kanpur;IIT Kanpur;Awarded to the top 7% of the batch for outstanding performance in academics.
aakash001;5;31-07-2012;null;Tata Steel Millenium Scholarship;Tata Steel;null
aakshaygarg;1;31-01-2013;null;NTPC Dadri General Manager Award;NTPC Dadri;null
aakshaygarg;2;31-01-2012;null;NTPC General Manager Award;NTPC Dadri;null
aakshaygarg;3;31-08-2011;null;NTPC Silver Medal;NTPC Limited;Honored with overall NTPC Silver Medal Award in 2011 by Shri Sushil Kumar Shinde, then Union Minister of Power, on recommendation of the NTPC Board of Directors
aarathi-s;1;30-09-2019;null;SINDA Excellence Award;SINDA;This award honours individuals who have achieved excellence in the respective fields of academic and sports.
aaron-hallmark-883a0b1;1;01-05-2015;null;Stanford Club of Singapore;Treasurer;null
aaron-kalaichelvan-kc-b2422711;1;31-12-2007;null;Industrial Gas Association of Singapore;Chairmen of Technical Committee;Coordinate industrial gas safety matters for association members. Involved in public education of industrial gas safety. Manage review of standards relating to industrial gases. Coordinate discussions with regulatory authorities on industrial gas operations. \n\nAs the Technical Committee Chairman, lead a team to organise the 2012 Industrial Gas Safety Seminar held on 18 Sept, at The Biopolis.
aaron-looi-23463290;1;;null;Singapore Computer Society;null;null
aaron-mccallum-652a58112;1;01-06-2016;null;Allied Health Professionals Council;-;null
aaron-mccallum-652a58112;2;01-02-2016;null;Society of Musculoskeletal Medicine;Member;null
aaron-mccallum-652a58112;3;01-07-2012;null;Healthcare Professional Council (UK);-;null
aaron-mccallum-652a58112;4;01-06-2012;29-02-2016;Chartered Society of Physiotherapists;Memeber;null
aaron-tan-09906831;1;30-06-2013;null;IEEE;Graduate Student Member;null
aaron-tan-shiyi-59868736;1;30-09-2012;31-05-2015;University of British Columbia Water Polo Club;President and Treasurer;\u2022 Managed the student-run organization that stressed skill development, team-building and socialization.
aaron-teo-570641120;1;;null;The Private Museum;null;null
aaron-yuan-0b0803129;1;31-12-2011;null;Dean's Commendation 2011;Monash University;In recognition of outstanding academic achievement
aaronchanzhihao;1;31-10-2018;null;Excellent Service (EXSA) Gold Award;The Association of Banks in Singapore;For rendering consistently superior service to business partners and internal customers
aaronchanzhihao;2;31-10-2017;null;Excellent Service (EXSA) Silver Award;The Association of Banks in Singapore;For rendering exceptional service to business partners and internal customers
aaronchanzhihao;3;31-01-2016;null;Spot Award;OCBC Bank;For engineering an automated process which increased the team's productivity and potential sales by 50%, while on rotation to Group Lifestyle Financing \u2013 Acquisition
aaronchanzhihao;4;30-09-2014;null;360 Degree (All-Rounder Student Development Programme);Singapore Institute of Management, Global Education;An elite programme which coaches and grooms members in career preparation, offered only to the top 0.25% of the graduating student population
aaronchanzhihao;5;30-09-2014;null;Singapore Institute of Management Global Education Scholarship Award (Academic Excellence and Leadership);Singapore Institute of Management, Global Education;In recognition of excellent academic performance and exemplary leadership
aaronchanzhihao;6;31-01-2014;null;Impact Award;Singapore Institute of Management, Global Education;In recognition of outstanding performance during service in the Executive Committee of the Student Council
aaronchanzhihao;7;31-08-2011;null;Outstanding Serviceman of the Month;Republic of Singapore Air Force;Awarded for exemplary performance in the Squadron
aaronchanzhihao;8;31-10-2009;null;National Youth Achievement Award (Gold);National Youth Achievement Award (Singapore);The pinnacle of the NYAA Programme, one of the premier youth development programmes in Singapore
aaronchuaar;1;31-07-2016;null;Director\u2019s Honours List 2015/2016;null;The Director\u2019s List Award is the School\u2019s highest academic honour, given to academically outstanding students in the top 10% of each cohort for the Freshman and Junior years.
aaronchuaar;2;31-05-2016;null;CCA Merit Award (Leadership) - Mobile & Network Services Student Interest Group;null;The Temasek Polytechnic CCA Merit Awards are awarded to students who have contributed significantly to their Co-Curricular Activities in the Polytechnic, either in the areas of Arts, Sports or Leadership.
aaronchuaar;3;30-06-2015;null;Director\u2019s Honours List 2014/2015;Temasek Polytechnic;The Director\u2019s List Award is the School\u2019s highest academic honour, given to academically outstanding students in the top 10% of each cohort for the Freshman and Junior years.
aaronchuaar;4;30-09-2014;null;Temasek Polytechnic Diploma Plus Programme;Temasek Polytechnic;Diploma Plus Programme comprises a series of subjects which have been grouped in clusters according to their fields of study. Each subject cluster consists of four fundamental subjects in that given field. It is given to students who have done well in the first semester of their freshman year and rank in the top 10% in their diploma course, they'll be able to obtain an additional certificate in a field outside of your diploma course of study by completing the four subjects in a specific subject...\nDiploma Plus Programme comprises a series of subjects which have been grouped in clusters according to their fields of study. Each subject cluster consists of four fundamental subjects in that given field. It is given to students who have done well in the first semester of their freshman year and rank in the top 10% in their diploma course, they'll be able to obtain an additional certificate in a field outside of your diploma course of study by completing the four subjects in a specific subject cluster. What I am pursing is the Cluster of Business Fundamentals and will receive the Certificate in Business Fundamentals during Graduation Ceremony.less\nShow moreShow less
aaronlah;1;01-08-2016;31-07-2017;NUS Special Programme in Science;Senior Mentor;Positions held\u2022 Senior Mentor (2016 - 2017)\u2022 System Administrator (2015 - 2016)\u2022 Junior Mentor (2015 - 2016)\u2022 Logistics Coordinator (2014)
aaronlah;2;01-03-2017;31-03-2017;NUS School of Computing;Computing Student Ambassador;Description\u2022 Talks Group Leader on NUS Open Day 2017\u2022 Proactively engage with prospective students who are considering studying Computing, to help them decide if NUS Computing is right for them, by sharing my experiences
aaronlah;3;01-10-2015;28-02-2017;NUS Faculty of Science;Science Student Ambassador;Description\u2022 Represent the Science Dean's Office for outreach activities at schools and on-campus events.\u2022 Provide admission and academic advice, to help prospective students discover their interests as they explore academic offerings and learn about extracurricular opportunities.\u2022 Conduct day tours around the Science Faculty as a tour leader (Science Open House 2016).
aaronlah;4;01-08-2015;31-08-2016;NUS Physics Society;President;Positions held\u2022 President (2015 - 2016)\u2022 Physics Camp Director (2015)\u2022 Assistant Events Master (2014 - 2015)\u2022 Physics Camp Programmes IC (2014)
aaronyanwq;1;31-12-2013;null;NinerVictor;Contributor;\u2022 Online aviation portal/publication\n\u2022 Articles and photographs related to aviation in Singapore
aaronyew;1;;null;CFA Institute;null;null
aarthi-ravikrishnan-85811549;1;;null;International Metabolic Engineering Society;null;null
aarthi-ravikrishnan-85811549;2;;null;International Society for Computational Biology;Regional Bioinformatics Experts and Troubleshooters;null
aartilimayebhide;1;31-10-2015;null;Team Achievement Award;null;Team award (for the Cloud Managed Services (CMS) Documentation Team) received for effectively surmounting several documentation challenges in 2015.
aartilimayebhide;2;30-06-2015;null;You Made a Difference Award;null;Received for taking ownership of the Network Service Orchestration component documentation in the product across multiple releases.
aartilimayebhide;3;30-09-2010;null;Certificate of Appreciation;Learning and Development Team;Award for coordinating with the L&D Team and organizing and conducting multiple training sessions for employees.
aartilimayebhide;4;31-05-2009;null;Certificate of Appreciation;null;Award for providing quality documentation, reviewing multiple documents in a short time frame, and delivering the documents before the expected timeline.
aasandra-loh-3138a212a;1;30-11-2012;null;POL-ITE Volleyball Champion;null;null
aashish-gurung-056550173;1;30-09-2018;null;Clout Company;Promoter;null
aashish-gurung-056550173;2;30-09-2018;null;Marketing Interest Group;Marketing Ambassador;null
aashish-gurung-056550173;3;30-11-2016;null;Show Company;Set up Crew;Setting up lighting, audio and led walls for various events at different locations. For e.g our team did a set up for the Jay Chou Show in the year 2017 and we do ZoukOut setup every year.
abapconsultantidrisahmed;1;31-01-2009;null;Head of Accomodation team for national technical festival Chankya-09;Jawaharlal Nehru Engineering College;I was appointed as head of Accommodation committee to manage 500-600 student for their seminars and technical competitions for 2 days under team of 20 Volunteers.
abd-shaq;1;;null;Academic Achievement Award (Top 25% in level and course);null;null
abd-shaq;2;;null;Best In Module (Transmission Tech);null;null
abd-shaq;3;;null;The Silver Scania Award for Heavy Automotive;SCANIA;https://www.scania.com/sg/en/home/experience-scania/news-and-events/News/20160223.html
abdesmond;1;01-09-2012;31-05-2015;Phi Beta Lambda;Member, Treasurer, Pennsylvania State President;null
abdesmond;2;01-09-2013;31-01-2015;The Socially Responsible Investment Portfolio;Senior Equity Analyst;null
%E2%AD%90francis-teo-solomo;1;31-10-2010;null;Business of the Year 2010;Malaysia Government Ministry of Trade;Antimos as a Business of the Year 2010
%E6%B7%91%E5%90%9B-%E7%8E%8B-406033ba;1;30-09-2012;null;\u9ad8\u6559\u793e\u676f\u5168\u56fd\u5927\u5b66\u751f\u6570\u5b66\u5efa\u6a21\u7ade\u8d5b\u6c5f\u82cf\u7701\u4e00\u7b49\u5956;null;\u27a2 \u719f\u7ec3\u638c\u63e1\u4e86\u6570\u5b66\u5206\u6790\u8f6f\u4ef6\u5982 Excel, MATLAB, SPSS \u7b49\u7684\u4f7f\u7528\uff0c\u540c\u65f6\u5904\u7406\u95ee\u9898\u548c\u82f1\u6587\u5199\u4f5c\u80fd\u529b\u4e5f\u5f97\u5230\u4e86\u953b\u70bc\u3002\u27a2 \u5c1d\u8bd5\u5728\u975e\u5e38\u77ed\u7684\u65f6\u95f4\u6bb5\u91cc\uff0872 \u6216 96 \u5c0f\u65f6\uff09\u5e76\u5728\u9ad8\u5f3a\u5ea6\u4e0b\uff08\u540c\u65f6\u8fd8\u8981\u5904\u7406\u5b66\u6821\u529f\u8bfe\uff09\u89e3\u51b3\u95ee\u9898\u3002
%E6%B7%91%E5%90%9B-%E7%8E%8B-406033ba;2;30-06-2012;null;\u6c5f\u82cf\u7701\u5927\u5b66\u751f\u5668\u4e50\u5c55\u6f14\u6c11\u4e50\u7b2c\u4e00\u540d;null;\u4e1c\u5357\u5927\u5b66\u6c11\u4e50\u56e2\u4e2d\u962e\u6f14\u594f\u8005
%E6%B7%91%E5%90%9B-%E7%8E%8B-406033ba;3;30-11-2011;null;\u4e1c\u5357\u5927\u5b66\u89c6\u89c9\u5236\u5bfc\u673a\u5668\u4eba\u7ade\u8d5b;null;\u672c\u6b21\u6bd4\u8d5b\u91c7\u7528\u5355\u7247\u673a P89V51RD2 \u548c Parallax Continuous \u4f3a\u670d\u7535\u673a\u642d\u5efa\u7684\u95ed\u73af\u63a7\u5236\u7cfb\u7edf\uff0c\u5229\u7528\u4e00\u5bf9\u7ea2\u5916\u7ebf\u4f20\u611f\u5668\u4f5c\u4e3a\u53cd\u9988\u3002\u5355\u7247\u673a\u5177\u6709 IAP\uff08\u5728\u5e94\u7528\u4e2d\u7f16\u7a0b\uff09\u529f\u80fd\uff0c\u901a\u8fc7\u5728\u5e94\u7528\u7a0b\u5e8f\u4e2d\u8c03\u7528 IAP \u5b50\u7a0b\u5e8f\uff0c\u53ef\u5b9e\u73b0\u6709\u9009\u62e9\u7684\u5bf9 FLASH \u5757\u8fdb\u884c\u64e6\u9664\u548c\u7f16\u7a0b\u3002\u6700\u540e\u901a\u8fc7 flash magic \u5c31\u53ef\u5c06\u7a0b\u5e8f\u70e7\u5165\u5355\u7247\u673a\u4e2d\uff0c\u5b9e\u73b0\u76f8\u5e94\u7684\u63a7\u5236\u529f\u80fd\u3002\u27a2 \u5bf9\u673a\u7535\u4e00\u4f53\u5316\u7cfb\u7edf\u7684\u7b2c\u4e00\u6b21\u5c1d\u8bd5\uff0c\u56e2\u961f 3 \u4eba\u5206\u5de5\u5408\u4f5c\uff0c \u5b66\u5230\u4e86\u5982\u4f55\u5728\u5b9e\u9645\u64cd\u4f5c\u4e2d\u89e3\u51b3\u95ee\u9898\uff0c\u5982\u591a\u6b21\u5c1d\u8bd5\u4ee5\u8c03\u51fa\u8f6c\u5f2f\u65f6\u5de6\u53f3\u7535\u673a\u5408\u9002\u7684\u8109\u51b2\u6570\uff0c\u5f97\u5230\u4e86\u89e3\u51b3\u95ee\u9898\u7684\u7ecf\u9a8c\u3002
