public_identifier;num_accomplishment_honors_awards;title;issuer;issued_on;description
%C3%A1lvaro-moreno-soto-543b997b;1;;Euromech;30-09-2016;Presentation: Gas depletion through single gas bubble growth and its effect on subsequently growing bubbles
%C3%A1lvaro-moreno-soto-543b997b;2;;Universidad Pablo de Olavide;31-12-2007;null
%C3%A1lvaro-moreno-soto-543b997b;3;;Universidad de Sevilla;31-12-2007;null
%C3%A1lvaro-moreno-soto-543b997b;4;;Council of Andalusia;31-12-2007;null
%C3%A1ngela-p%C3%A9rez-del-puerto-09a560104;1;;ANECA -  Agencia Nacional de Evaluaci\u00f3n de la Calidad y Acreditaci\u00f3n;01-03-2017;null
%C3%A1ngela-p%C3%A9rez-del-puerto-09a560104;2;;The University of Tennessee-Knoxville;01-03-2016;A travel grant to present a research paper at an international conference.
%C3%A1ngela-p%C3%A9rez-del-puerto-09a560104;3;;The University of Tennessee-Knoxville;01-08-2015;The Yates Dissertation Fellow awarded $15,000 in support for my excellence in research accomplishments
%C3%A1ngela-p%C3%A9rez-del-puerto-09a560104;4;;The University of Tennessee-Knoxville;01-03-2015;A travel grant to present a research paper at a national conference.
%C3%A1ngela-p%C3%A9rez-del-puerto-09a560104;5;;The University of Tennessee-Knoxville;01-01-2015;null
%C3%A1ngela-p%C3%A9rez-del-puerto-09a560104;6;;The University of Tennessee-Knoxville;01-03-2014;A travel grant to present a research paper at a national conference.
%C3%A1ngela-p%C3%A9rez-del-puerto-09a560104;7;;The University of Tennessee-Knoxville;01-08-2012;The University of Tennessee Chancellor Top-Off Award consisted on $5,000 a year plus a reduction in teaching load.
%C3%A1ngela-p%C3%A9rez-del-puerto-09a560104;8;;Universidad Aut\u00f3noma de Madrid;01-06-2012;null
%C3%A1ngela-p%C3%A9rez-del-puerto-09a560104;9;00-03;Universidad Aut\u00f3noma de Madrid;01-09-2010;null
%C3%A1ngela-p%C3%A9rez-del-puerto-09a560104;10;00-09;Universidad Aut\u00f3noma de Madrid;01-09-2006;null
%C3%A5ke-hellstr%C3%B6m-10185414;1;2017;TAPPI Paper and Board and Engineering Divisions;30-04-2017;"Dr. Jasper Mardon left  a  legacy of his extraordinary advancements in papermaking science and practice.   An annual award is given in his name for best PaperCon paper . The title of our paper is \""Best practices for maintaining QCS scanning systems at pristine conditions\"", and I co-authored it together with my dear friend Dr. S-C Chen at ABB who presented it at the conference. The paper is available for download at TAPPI, free for members and for purchase by non members.."
%C3%A5ke-hellstr%C3%B6m-10185414;2;2017;TAPPI Process Control Division;30-04-2017;"The title of this paper is \""Best practices for maintaining QCS scanning systems at pristine conditions\"", and I    co-authored it together with my dear  friend Dr. S-C Chen at ABB who presented it at the conference. The paper is available for download at TAPPI, free for members and for purchase by non members.."
%C3%A5ke-hellstr%C3%B6m-10185414;3;2015;TAPPI;30-04-2015;"The  PaperCon 2015 conference in Atlanta was a grandiose 100 year celebration of TAPPI (Technical Association of Pulp and Paper Industry). My little. contribution was a paper titled \""Paper quality measurement - past, current and future\"".  I was quite surprised and honored to receive this award. The paper is available for download at TAPPI, free for members and for purchase by non members. ."
%C3%A5ke-hellstr%C3%B6m-10185414;4;2011;TAPPI Process Control Division;30-04-2011;TAPPI ( Technical Association of the Pulp and Paper Industry)  is a worldwide organization  with around 14,000 members. I was mighty  honored to receive this award  at the 2011 annual PaperCon symposium
%C3%A5sa-bollvik-a1262799;1;;DDB, New York;30-04-2015;null
%C3%A5sa-bollvik-a1262799;2;;IIDA, New York;28-02-2015;null
%C3%A5sa-bollvik-a1262799;3;;PAVE, New York;31-10-2014;null
%C3%A5sa-bollvik-a1262799;4;;IIDA, New York;30-04-2014;null
%C3%A5sa-bollvik-a1262799;5;;The Decorators Club;31-10-2013;null
%C3%A5sa-bollvik-a1262799;6;;The Decorators Club, New York;30-09-2013;null
%C3%A5smund-folkestad-208a8b110;1;;Aker Scholarship;01-01-2018;Scholarship supporting PhD studies
%C3%A5smund-folkestad-208a8b110;2;;-;01-01-2018;null
%C3%A5smund-folkestad-208a8b110;3;;-;null;Recipient of a scholarship from Fulbright to study in the US for the academic year of 2016-2017.
%C3%A7lirim-hajdari-6b4b06158;1;;University of Prishtina;null;null
%C3%A7lirim-hajdari-6b4b06158;2;;University of Prishtina;null;null
%C3%A7lirim-hajdari-6b4b06158;3;;Municipality of Suhareka;null;null
%C3%A7lirim-sheremeti-7b9a61147;1;64;Rochester Institute of Technology;31-12-2019;This award was established as part of the celebration of RIT\u2019s 175th Anniversary by Mr. Alfred L. Davis, a long-time supporter of RIT, and especially of the student community. The award commemorates the 40 years of distinguished public service of Bruce R. James, Chairman of the RIT Board of Trustees, and to honor students, specifically, who give of their service in distinct and voluntary ways to organizations, communities, or causes in need.
%C3%A7lirim-sheremeti-7b9a61147;2;2019;Global Changemakers;31-07-2019;As the only delegate from the Kosovo (and the Balkans) selected in a highly competitive process with a 4.8% selection rate, I had the honor of attending Global Changemakers' Global Youth Summit 2019 in Aarau, Switzerland. Global Changemakers is an international youth organisation and global pioneer in supporting youth-led sustainable development. GCM's mission is to empower young leaders to catalyze positive social change. Young people are the key to success for the Sustainable Development...
%C3%A7lirim-sheremeti-7b9a61147;3;;#PerTeMiren Campaign;31-08-2018;Awarded by #PerTeMiren (United for Good), a campaign and informal group created by local changemakers in Kosova that aims to recognize local community initiatives and changemakers around Kosova, counting more than 4,500 members on Facebook.
%C3%A7lirim-sheremeti-7b9a61147;4;04;Ohio State University Extension;31-03-2018;Was invited by the Ohio State Uniervsity Extension as the keynote speaker, to speak in front of 700 participants on 4-H Kosova as the youngest 4-H program in the world, and its vision, mission, programs, and youth development strategy for the future
%C3%A7lirim-sheremeti-7b9a61147;5;04;Global 4-H Network Summit;31-07-2017;Represented Kosova, and as the European 4-H representative, was part of the delegation that met with Canada\u2019s Prime Minister Justin Trudeau to discuss youth policies and representation, and met with global representatives of 4-H youth programs
%C3%A7lirim-sheremeti-7b9a61147;6;2016;EU Information and Cultural Centre;31-10-2016;Awarded 3rd place for youth volunteering contributions in multiple community organizations by the EU Information and Cultural Centre in Kosova, and Natalia Apostolova, Head of the European Union in Kosovo
%C3%A8ve-dubois-a7418a196;1;2020;null;null;null
%C3%A8ve-dubois-a7418a196;2;;null;null;null
%C3%A8ve-dubois-a7418a196;3;2018;null;null;null
%C3%A9tienne-de-massy-15706026;1;03;VAD: Festival International de video i arts digitals, Girona, Espa\u00f1a;null;1er Prix V\u00eddeo monocanal  :  Imagine un futur (im)possible
%C3%B6zge-ak%C4%B1n-1162a716;1;01;Istanbul Technical University;30-06-2010;Ranked 1st in graduation from the department of Geological Engineering, Istanbul Technical University.
%C3%B6zge-ak%C4%B1n-1162a716;2;;T\u00fcrkiye \u0130\u015f Bankas\u0131;30-06-2010;null
%C3%B6zge-ak%C4%B1n-1162a716;3;;University of New Hampshire;null;Academic Years: 2017- 2018  & 2018 - 2019
%C3%B6zge-ak%C4%B1n-1162a716;4;;Istanbul Technical University;null;Academic Years: 2008 - 2009 & 2009 - 2010
%C3%B6zge-g%C3%BCrcanl%C4%B1-9a81994;1;33;Rice University;01-02-2019;null
%C3%B6zge-g%C3%BCrcanl%C4%B1-9a81994;2;32;Rice University;01-01-2018;null
%C3%B6zge-g%C3%BCrcanl%C4%B1-9a81994;3;30;Rice University;01-01-2016;null
%C3%B6zge-g%C3%BCrcanl%C4%B1-9a81994;4;;Rice University CTE;01-01-2016;"Thanks to the generous support of Mr. and Mrs. Jimmy Treybig, the CTE ran its first annual Treybig Teaching & Innovation Colloquy in 2016.  8 faculty were selected through a competitive application process, and each were awarded a $1,000 stipend to participate in a semester-long pedagogy workshop focused on the theme of \""Improving Conceptual Understanding.\"" Participants were asked to:1. Meet several times over the course of the spring semester.2. Read articles from the field of teaching and learning prior to each meeting.3. Design a pedagogical tool (e.g., an assignment, an assessment of prior knowledge, a concept inventory, etc.) and implement the pedagogical tool in courses taught the following academic year.4. Share knowledge gained in the colloquy with departmental colleagues by the end of the academic year."
%C3%B6zge-g%C3%BCrcanl%C4%B1-9a81994;5;28;Rice University;01-01-2014;null
%C5%9Fevket-umut-y%C3%BCr%C3%BCker-47430459;1;;IEEE - ITHERM;01-05-2019;- A Metamodeling Approach for Optimization of Manifold Microchannel Systems for High Heat Flux Cooling Applications
%C5%9Fevket-umut-y%C3%BCr%C3%BCker-47430459;2;;DARPA;01-10-2015;"- Our novel thermal connector design \""OZU-P5\"" won the \""Best Commercial Potential\"" Award in the final stage of DARPA REV-Con Thermal Connector Design Challange that took place in the University of Missouri."
%C5%9Fevket-umut-y%C3%BCr%C3%BCker-47430459;3;2015;-;01-06-2015;- Graduated as the top of the class of 2015 with B.Sc in Mechanical engineering
%C5%9Fevket-umut-y%C3%BCr%C3%BCker-47430459;4;;Ozyegin University, Dept. of Mechanical Engineering;01-01-2015;- Graduated with honors from Ozyegin University, Mechanical Engineering
%C5%9Fevket-umut-y%C3%BCr%C3%BCker-47430459;5;;American Society of Mechanical Engineers;01-11-2013;- Ranked 1st by the jury in ASME Poster Exposition in San Diego 2013.
%C5%9Fevket-umut-y%C3%BCr%C3%BCker-47430459;6;;Ozyegin University;01-01-2011;- Full tution waiver for Bachelor's education, obtained through my ranking in the university entrance exam
%C5%9Feyma-k%C3%BCrk-3310a334;1;;Indiana University-Purdue University at Indianapolis (IUPUI);null;null
%C5%9Feyma-k%C3%BCrk-3310a334;2;;The University of Iowa;null;null
%C5%9Feyma-k%C3%BCrk-3310a334;3;;Turkey Ministry of National Education;null;Scholarship that covers tuition and all other expenses for abroad graduate education and provides a faculty position in Turkey
%C5%BEeljko-z-torbica-8a4bb95;1;;ASQ;01-11-2015;null
%E5%96%9C%E5%B4%87-%E5%8C%97%E9%87%8E-26842a50;1;;Warrnambool College (Australia, Victoria);31-12-2009;null
%E5%96%9C%E5%B4%87-%E5%8C%97%E9%87%8E-26842a50;2;;Warrnambool College (Australia, Victoria);31-12-2008;null
%E6%98%8A-%E5%BC%BA-0358a0135;1;2016-05-74-04-02-79-01-5927-201-6821-56-5341-04-73-06-04-624-201;-;null;null
%E6%98%8A-%E5%BC%BA-0358a0135;2;07-02-29-05-04-5168-56-04-02-05-66-751-7269-7406-07-08-05-7701-07-07-04-00-07-49-5956-04-9001-04-02-79-01-5927-7269-7406-07;-;null;null
%E6%B6%9B-%E6%9D%A8-44b225130;1;56-05-06-52-01-05-07-5956-05-66-91-01;\u590d\u65e6\u5927\u5b66;01-07-2015;null
%E6%B6%9B-%E6%9D%A8-44b225130;2;590-65-06-5927-05-66-04-18-79-00-05-66-751-5956-05-66-91-01;\u590d\u65e6\u5927\u5b66;01-07-2015;null
%E6%B6%9B-%E6%9D%A8-44b225130;3;06-9675-533-04-09-597-05-66-751;\u6daa\u9675\u533a\u6559\u80b2\u59d4\u5458\u4f1a;01-02-2014;null
%E7%88%BD-%E6%9D%8E-0bb057140;1;04-18-79-00-06-05-04-01-751;\u6b66\u6c49\u79d1\u6280\u5927\u5b66;01-06-2016;null
%E7%88%BD-%E6%9D%8E-0bb057140;2;6821-07-07-04-09-07-49-5956-05-66-91-01;\u6b66\u6c49\u79d1\u6280\u5927\u5b66;01-11-2015;null
%E7%88%BD-%E6%9D%8E-0bb057140;3;06-66-06-49-79-01-6280-5927-05-66-08-01-07-97-673-79-01-05-66-04-00-6280-672-05-66-9662-05-05-08-5236-9879-76-08-04-06-04-201-04-09-07-49-5956-201;\u6b66\u6c49\u79d1\u6280\u5927\u5b66\u8ba1\u7b97\u673a\u79d1\u5b66\u4e0e\u6280\u672f\u5b66\u9662;01-06-2015;null
%E7%88%BD-%E6%9D%8E-0bb057140;4;6821-07-07-04-09-07-49-5956-05-66-91-01;\u6b66\u6c49\u79d1\u6280\u5927\u5b66;01-11-2014;null
%E7%88%BD-%E6%9D%8E-0bb057140;5;04-18-79-00-05-66-751;\u6b66\u6c49\u79d1\u6280\u5927\u5b66;01-10-2014;null
%E7%88%BD-%E6%9D%8E-0bb057140;6;04-18-79-00-05-66-751;\u6b66\u6c49\u79d1\u6280\u5927\u5b66;01-11-2013;null
%E7%88%BD-%E6%9D%8E-0bb057140;7;6821-07-07-04-08-07-49-5956-05-66-91-01;\u6b66\u6c49\u79d1\u6280\u5927\u5b66;01-09-2013;null
%E7%8E%B2-ling-c-%E9%99%B3-33a43b16a;1;1992;-;null;null
%E7%8E%B2-ling-c-%E9%99%B3-33a43b16a;2;1983;-;null;null
%E7%8E%B2-ling-c-%E9%99%B3-33a43b16a;3;;-;null;null
%E7%8E%B2-ling-c-%E9%99%B3-33a43b16a;4;1983;-;null;null
%E7%8E%B2-ling-c-%E9%99%B3-33a43b16a;5;;-;null;null
%E7%8E%B2-ling-c-%E9%99%B3-33a43b16a;6;;-;null;null
%E7%8E%B2-ling-c-%E9%99%B3-33a43b16a;7;04-08-524-1982;-;null;null
%E7%8E%B2-ling-c-%E9%99%B3-33a43b16a;8;2006;-;null;null
%E7%90%AA%E4%B9%90-%E7%8E%8B-a050b3193;1;;NTU;31-08-2016;null
%F0%9F%8F%A5-jonger-chua-05643bb9;1;;Republic Polytechnic;30-04-2011;null
%F0%9F%8F%A5-jonger-chua-05643bb9;2;;Republic Polytechnic;30-04-2010;null
%F0%9F%8F%A5-jonger-chua-05643bb9;3;;Republic Polytechnic;30-04-2009;null
00ckling;1;;Ministry of Trade & Industry;null;null
00ckling;2;;National University of Singapore & SembCorp Limited;null;null
04081969;1;;Standard Chartered Bank Malaysia Bhd;31-12-2002;null
13glenlcy13;1;;Singapore Red Cross Society;01-08-2021;Awarded for 75th blood donation under the National Blood Programme
13glenlcy13;2;;Singapore Red Cross Society;01-06-2019;Awarded for 50th blood donation under the National Blood Programme
13glenlcy13;3;;Singapore Red Cross Society;01-04-2017;Awarded for 25th blood donation under the National Blood Programme
13glenlcy13;4;01;Institute for Sports Research (NTU) & ICSST16;01-12-2016;2nd International Conference in Sports Science & Technology 2016Organised by Institute for Sport Research, NTUIn collaboration with Nanyang Technological University and Loughborough UniversitySponsored by Interdisciplinary Graduate School, NTUPoster Title : A Non-Invasive Method to Quantify Wearing of Shoe
13glenlcy13;5;2016;The Undergraduate Awards;01-11-2016;"Submitted and awarded as \""Highly Recommended\"" under the Engineering Category for academic year 2016.URL: https://undergraduateawards.com/winners/highly-commended-2016"
13glenlcy13;6;;Keppel Group;01-07-2011;Scholarship covering university education with 4 year work bondBond completed as of 31 July 2021
19bal;1;;null;31-12-2012;null
19bal;2;;Ministry of Education Singapore;30-11-2015;null
19bal;3;;Association Kangourou sans Frontieres;31-12-2014;null
19bal;4;;Ministry of Education Singapore;30-11-2015;null
19bal;5;;Ministry of Education Singapore;31-12-2010;null
1samuel;1;;(Dr.) Chammika Udalagama;30-04-2015;"Invited as a guest speaker and delivered a talk on \""Movie Myths\"" in GEK1548FC: How the Ocean Works on 17 April 2015 at NUS."
1samuel;2;2010-2011;null;31-12-2011;null
1samuel;3;;null;31-12-2011;Completion of 150 hours community service
3jcking;1;2020;Junior Chamber International Singapore;01-03-2021;Hundreds of nominations were submitted, only top 20 entrepreneurs are awarded by Junior Chamber International  Singapore. Thank you to PNP Sen. Duke Alvin for his nomination under the category of Women Empowerment.
3jcking;2;19-2019;People\u2019s Government of ShunDe, China;01-01-2020;Covid-19 Mask Donation Appreciation by People\u2019s Government of ShunDe, China - First team of Overseas and China Business Leaders to donate & delivered 15,000 surgical masks on Chinese New Year Eve
3jcking;3;2018;Singapore Spirit Of Enterprise;01-10-2018;I am honored and humbled to be recognized as the Youngest SOE Awardee, awarded by Sim Ann, Senior Minister of State, Ministry of Communications & Information.
3jcking;4;2018;International Business Federation;01-04-2018;ASIA TOP BUSINESS AWARD 2018 INTEGRITY BRAND AWARDAwarded to Top 10 Businesses in Asia
3jcking;5;2019-2019;Lions\u2019 Club of Singapore Pearl\u2019s Hill;01-02-2018;Annual Chinese New Year 300 Elderly lunch top sponsor
3jcking;6;2017;International Business Federation;01-10-2017;Awarded to Top 20 Cross-Border Businesses in Asia
3jcking;7;2017;International Business Federation;01-02-2017;Awarded to Top 30 Outstanding Businesses in ASEAN
3jcking;8;2019-2019;Lions\u2019 Club of Singapore Pearl\u2019s Hill;01-02-2017;Annual Chinese New Year 300 Elderly lunch top sponsor
3jcking;9;2016;International Business Federation;01-11-2016;Awarded to Top 50 Outstanding Businesses in Asia
3jcking;10;2019-2019;Lions\u2019 Club of Singapore Pearl\u2019s Hill;01-02-2016;Annual Chinese New Year 300 Elderly lunch top sponsor
3jcking;11;2011;Singapore National Youth Achievement Award Council;01-10-2011;2011 National Youth Achievement Award Awarded by Singapore President Dr Tony Tan for outstanding leadership achievement at age 20, one of the youngest recipient among the 80+ recipients.
a-b-6342061bb;1;;-;01-07-2017;null
a-b-6342061bb;2;;-;01-01-2017;null
a-b-6342061bb;3;;-;01-01-2015;null
a-b-6342061bb;4;;-;01-01-2015;null
a-b-6342061bb;5;;-;01-01-2015;null
a-b-6342061bb;6;;-;01-01-2015;null
a-gupta;1;;National University of Singapore;01-07-2010;null
a-in-roslan-75a04ab8;1;10;Pasir Ris Crest Secondary School;31-12-2012;Scored 11 points in N level, which is in the Top 10% of entire Secondary 4 Normal Academic cohort. Eligible for Polytechnic Foundation Programme
a-p-lim-zi-xuan-delane-37926530;1;2019;Singapore Business Review;01-11-2019;https://sbr.com.sg/co-written-partner/more-news/futuready-asia-singapore-wins-executive-year-education-sbr-management-e
a-p-lim-zi-xuan-delane-37926530;2;2019;Junior Chambers International;01-10-2019;Honouree Award for Contribution to Children, World Peace & Human Rights
a-p-lim-zi-xuan-delane-37926530;3;2019;The Straits Times;01-09-2019;https://www.straitstimes.com/forum/letters-on-the-web/no-need-to-shame-gojek-passenger
a-p-lim-zi-xuan-delane-37926530;4;;The Straits Times;01-05-2019;null
a-p-lim-zi-xuan-delane-37926530;5;;-;01-08-2018;null
a-p-lim-zi-xuan-delane-37926530;6;2014;The Straits Times;01-04-2014;https://www.agapegroupholdings.com/writer-of-the-week/
a-p-lim-zi-xuan-delane-37926530;7;2014;Trade & Industry Association Singapore;null;null
a-p-lim-zi-xuan-delane-37926530;8;2019-2020;NVPC / President of Singapore;null;null
a-p-lim-zi-xuan-delane-37926530;9;2021;JCI Marina & People Association Youth Movement;null;Category: Health & Wellness
a1ashiish;1;;L&T Infotech;31-05-2016;Project : My Customer Connect (Mc2) - MSCRMAshish has done an excellent job in MC2 integrations. His attention to details and accuracy in the development is really commendable. In spite of lot of pressure and complicated project situations he has delivered his best which helped MC2 to Go Live.
aadenfirdaus;1;2020;Singapore Armed Forces;31-03-2020;null
aadenfirdaus;2;;Ministry of Education;31-07-2018;null
aadenfirdaus;3;;Ministry of Education;31-07-2014;null
aadi-vaidya-a86b0a27;1;;-;01-06-2013;Awarded the college scholarship 3 years in a row for 1st rank in the department of Management Studies, St. Xavier's College Mumbai.
aadi-vaidya-a86b0a27;2;;Harvard College in Asia Program;01-01-2011;Selected as one of the 7 students who represented India in the international academic-cum-cultural exchange program - HCAP (Harvard College in Asia Program) at Harvard University in US. Was awarded the title of Mr. HCAP from among 50 students of 7 participating nations from across Asia and America.
aakash-panchariya;1;01;Times Of India, sponsored by Indo-Nissin Foods and Radio Mirchi;01-08-2007;2nd out of 1200 students
aale-raza-05659527;1;2016-2017;Singapore Business Media;31-12-2016;Whiteways was awarded the Singapore Prestige Class Awards 2016/2017
aale-raza-05659527;2;500;PSME 500, Singapore Business Federation;31-12-2015;The Promising SME 500 Campaign was spearheaded to recognize the exceptional achievements of business men and women in Singapore, highlighting their commercial success and also recognizing their contributions to the economy and the community at large. This campaign also serves as a platform to inspire aspiring entrepreneurs to likewise pursue their dreams and ultimately to create a sustainable entrepreneurial culture in our nation.
aanchal-kumar-94381023;1;50;Millward Brown;null;null
aanchal-kumar-94381023;2;2019;Jivox;null;null
aanchal-kumar-94381023;3;;Leo Burnett Chicago;null;"Report on \""The Changing Face of Luxury\"
aanchal-kumar-94381023;4;;Leo Burnett Hong Kong;null;null
aanchalkapoor;1;2012;null;null;null
aanchalkapoor;2;2016;null;null;null
aanchalkapoor;3;2013;null;null;null
aangeliaateo;1;;igloohome;01-06-2020;Circuit Disrupt is a competition designed to have participants break out of the norm and think of creative ways to use smart technologies to lead more meaningful lives.
aangeliaateo;2;;Nanyang Technological University;01-08-2018;Funded by the Isaac Manasseh Meyer Trust Fund to provide financial assistance to undergraduates studying full-time in NTU
aangeliaateo;3;;Nanyang Technological University;01-08-2017;Offered by NTU to provide financial assistance to undergraduates studying full-time in NTU
aangeliaateo;4;;Nanyang Technological University;01-08-2017;Offered by NTU to provide financial assistance to undergraduates studying full-time in NTU
aaqibhasnain;1;;Google;01-05-2019;For going the extra mile to deliver great work in NE B2B marketing team.
aaqibhasnain;2;;Google;01-03-2019;Awarded for top contributor to the EMEA Partners business for exceptional performance around programmatic strategy creation and deployment through strong stakeholder management.
aaqibhasnain;3;;Vodafone Group Services;01-01-2017;awarded for exceptional performance for roll out of Vodafone\u2019s in-house marketing agency & digital transformation deployment in 11 markets.
aaqibhasnain;4;;Professor G. Anandalingam (Dean of Imperial College Business School);01-09-2015;Recognised for academic excellence in the Imperial College Business School Dean\u2019s List for 2014/15. The Dean\u2019s List recognises outstanding students whose overall performance in their programme is above 70% and within the top 10% of the cohort.The list is available at: http://wwwf.imperial.ac.uk/business-school/about-us/deans-list/
aarispang;1;;Early Childhood Development Agency;30-11-2016;The ECDA Training Award (Polytechnic) is for students undergoing the full-time Early Childhood Education (ECE) diploma courses at either Ngee Ann Polytechnic or Temasek Polytechnic.The award aims to support students who are passionate about working with children and who wish to have a career in the early childhood sector.\u200b
aaron-angelo-vicuna;1;;College of Computer Studies, Columban College;31-10-2008;null
aaron-angelo-vicuna;2;;Columban College;30-06-2008;null
aaron-angelo-vicuna;3;;Columban College;31-10-2007;null
aaron-angelo-vicuna;4;;Columban College;30-06-2007;null
aaron-angelo-vicuna;5;;Columban College;31-10-2006;null
aaron-chan-a4b591126;1;;UCL;01-08-2012;null
aaron-chan-a4b591126;2;;UCL;01-08-2011;null
aaron-chan-a4b591126;3;;UCL;01-08-2011;null
aaron-chan-a4b591126;4;;Ministry of Defence;01-07-2008;null
aaron-chan-a4b591126;5;;Singapore Armed Forces;01-11-2007;null
aaron-chan-a4b591126;6;;Royal Canadian Air Force;01-07-2007;null
aaron-fabian-seow;1;;SMUX;01-09-2016;I am the current incoming President of SMUX, a student body group that looks after the interests of the adventure sports community in SMU. Duties of the role includes: meeting the needs of the estimated 1200 people community, overseeing the strategic planning for 1 calendar year, sitting on the SMUSA Council to look after the rights of the SMUX student body.Skills required: negotiator, big picture planner, coaching, critical thinking, swift decision making, attention to detail, relentless commitment, presentation, liaison
aaron-fabian-seow;2;;SMUX Trekking Team;01-01-2016;Duties of the role includes: leading of weekly trainings for the team, execution of expeditions, planning and observing safety SOPs.Skills used: swift on the ground decision making, interacting with members to build rapport, conceptualisation of ideas from the start to the end, aligning club activities with the overall vision of the SMUX student body.Accomplishments: planned and led a 10 pax 16 day expedition to the Himalayas, achieved a 100% increase in weekly attendance for trainings.Value add: took on a personal project to create a social media platform to share introductory stories about the members of the community.
aaron-ha-7b224966;1;;Loughborough University, United Kingdom;01-12-2013;I have been awarded First Class Honour (Distinction) in graduating of Master degree from Loughborough University.
aaron-ha-7b224966;2;;International Medical University. Malaysia;01-08-2011;I have been awarded pharmaceutical chemistry book prize for achieving the highest academic  performance in the graduating class of August 2011 for the Degree from International Medical University.
aaron-ha-7b224966;3;;International Medical University, Malaysia;01-01-2011;I have been awarded Merit Awards (Scholarship) based on my excellent performance at the end of Semester 4 and 5 results from International Medical University.
aaron-khoo-\u90b1\u5bb6\u4f1f-a474421b2;1;;Nanyang Technological University;31-03-2018;Awarded the top tier Nanyang Scholarship to pursue undergraduate studies at NTU.
aaron-khoo-\u90b1\u5bb6\u4f1f-a474421b2;2;;Nanyang Technological University;31-03-2018;Awarded to top incoming students for their stellar A Level results .
aaron-leong-11879b137;1;2016;Keppel Offshore and Marine Group;30-11-2016;Designed a comprehensive program for data collection of Hazard Observation cards in the yard which replaced the traditional way of manual sorting. The system proved useful in aiding to provide detailed analytics on hazard observation at any period required.The project was selected by top management to take part on a national level.
aaron-leong-11879b137;2;2013;Association of Singapore Maritime Industries;31-08-2013;Sequel to the Safety Innovation Team competition, the project team was appointed by top management to bring the product to a national level.
aaron-leong-11879b137;3;2013;Keppel Offshore and Marine Group;31-07-2013;Designed, fabricated and tested an apparatus  which harnesses hydraulic power to eliminate the need for hammering during high-pressure hose installations and won Gold Award. Designed a mechanical guard for a grinder to eliminate risks of finger injuries and won GOLD Award.
aaron-leong-11879b137;4;2017;null;null;null
aaron-lessler-a28730147;1;2019-2012;Sri Kuala Lumpur International School;31-12-2011;null
aaron-lessler-a28730147;2;2019-2013;Taylor's College;31-12-2012;null
aaron-liang-7a6aa6209;1;;-;01-12-2019;Achieved a Bronze Medal in the Squash Men\u2019s Team Event of the 2019 South-East Asian Games held in the Philippines.
aaron-liang-7a6aa6209;2;;-;01-12-2019;Achieved a Silver Medal in the Squash Mixed Team Event  of the 2019 South-East Asian Games held in the Philippines.
aaron-liang-7a6aa6209;3;;Singapore Schools Sports Council;01-10-2018;Awarded to one student athlete who demonstrates the best performance and conduct within the tournament season.
aaron-liang-7a6aa6209;4;;Singapore Schools Sports Council;01-10-2017;Awarded to one student athlete who demonstrates the best performance and conduct within the tournament season.
aaron-lim-704293144;1;;Ministry of Education;31-12-2014;All Singaporean students from Primary 4 onwards in Government and Government-aided schools, junior colleges/centralised institute, independent schools, specialised schools and the Institute of Technical Education are eligible for the Edusave Award for Achievement, Good Leadership and Service, which is given to up to 10% of students who have demonstrated leadership qualities, service to community and schools, excellence in non-academic activities, and good conduct.
aaron-lim-704293144;2;;Outward Bound Singapore;30-04-2018;\u2022Successful applicants will be awarded a full scholarship to the prestigious 21-Day Classic Challenge Course, which includes mandatory community service component during and after the course\n\u202217-35 years old\n\u2022Excellent leadership and service track record\n\u2022Has experience and is passionate in improving the community\n\u2022Only Singaporeans and Permanent Residents are eligible
aaron-lim-704293144;3;;Singapore Red Cross;30-09-2019;The SRCCA is awarded to a member or registered volunteer of the Singapore Red\nCross for commendable and sustained voluntary service to the Singapore Red Cross.
aaron-lim-704293144;4;;ITE College East, School of Health Sciences (Nursing);28-02-2018;The Outstanding Graduate Award is given to the top 1% of the students cohort who have performed exceptionally well in their course of study and in their CCAs
aaron-lim-704293144;5;;Ministry of Education;31-12-2013;All Singaporean students from Primary 4 onwards in Government and Government-aided schools, junior colleges/centralised institute, independent schools, specialised schools and the Institute of Technical Education are eligible for the Edusave Award for Achievement, Good Leadership and Service, which is given to up to 10% of students who have demonstrated leadership qualities, service to community and schools, excellence in non-academic activities, and good conduct.
aaron-lim-b88b2268;1;2013;NetApp;31-05-2016;Awarded for showcasing tremendous adaptability since joining the NetApp Partner Community.Aaron has forged a strong partnership with NetApp to expand on the partner landscape by conducting enablement sessions for new partners on-boarding, and has served as the technical advisor for all things Cisco & NetApp. To expand on Ingram's solution offering to partners, he has worked closely with NetApp Cloud Team to set up a virtual Proof-of-Concept on AltaVault to position NetApp Backup to...\nAwarded for showcasing tremendous adaptability since joining the NetApp Partner Community.Aaron has forged a strong partnership with NetApp to expand on the partner landscape by conducting enablement sessions for new partners on-boarding, and has served as the technical advisor for all things Cisco & NetApp. To expand on Ingram's solution offering to partners, he has worked closely with NetApp Cloud Team to set up a virtual Proof-of-Concept on AltaVault to position NetApp Backup to Cloud strategy to partners. His hardworking attitude, enthusiasm towards learning and ability to adapt to the ever-changing business environment have definitely been recognised by the Sales and Channel team.\nShow moreShow less
aaron-lim-b88b2268;2;;NetApp;31-07-2015;In recognition for pro-activeness and initiative to meet customer requests. Being a teammate that can be counted on to win.
