public_identifier;num_accomplishment_patents;title;issuer;issued_on;description;application_number;patent_number;url
%E7%B4%AB%E4%BB%B2-%E3%81%84-%E3%81%A1-%E5%8A%89-8121995a;2;56-07-53-00-06-07-5927-05-78-7269-7406-05-78-07-535-58-05-78-04-04-08-07-683-04-02-83-06-11-56-94-05-74-516-5143-2004-05-74-2005-05-74;null;01-07-2005;"\u6211\u4e4b\u65c1\u7cfb\u8840\u89aa \u59d1\u5abd\u4e4b\u5b50 (\u5085\u5bb6)\u5289 \u9e97 \u9cf3 (\u6211\u7236\u89aa\u4e4b\u59ca)\u59d1\u4e08: \u5085 \u5efa \u83ef\u6211\u5802\u54e5(\u5a4a\u5144)\u5085  \u65af  \u5e73\u4e2d \u83ef \u6c11 \u56fd (R.O.C)  6 6\u5e74 \u6b21 \u8a95 \u8fb0 \u65bc \u53f0 \u6e7e (Taiwan )\u516c \u5143 1992 \u5e74\u53c3 \u52a0 \u5168 \u56fd \u9ad8 \u7d1a \u4e2d \u5b66  \u806f \u8003\u9ad8\u5206\u9304\u53d6\u53f0\u5317\u5e02\u7acb\u5efa\u56fd\u9ad8\u7d1a\u4e2d\u5b66(\u5168\u53f0\u7b2c\u4e00\u5b78\u5e9c)\u516c \u51431995\u5e74\u5efa\u4e2d\u5352\u696d ;\u53c3\u52a0\u5927\u5b66\u806f\u62db\u8003\u53d6\u56fd\u7acb\u53f0\u6e7e\u5e2b\u7bc4\u5927\u5b66\u7269\u7406\u5b66\u7cfb\u516c \u51431999\u5e74\u5f9e\u53f0\u5e2b\u5927\u5352\u696d\u53c3\u52a0\u53f0\u5317\u5e02\u5340(\u78a9\u58eb\u73ed)\u61c9\u8a66\u8003\u53d6\u56fd\u7acb\u53f0\u6e7e\u5927\u5b66(NTU)(\u7269\u7406\u5b66)\u7cfb <\u78a9\u58eb\u73ed>\u78a9\u58eb\u751f\u516c\u51432001\u5e74\u53f0\u5927\u78a9\u58eb\u5352\u696d...\n\u6211\u4e4b\u65c1\u7cfb\u8840\u89aa \u59d1\u5abd\u4e4b\u5b50 (\u5085\u5bb6)\u5289 \u9e97 \u9cf3 (\u6211\u7236\u89aa\u4e4b\u59ca)\u59d1\u4e08: \u5085 \u5efa \u83ef\u6211\u5802\u54e5(\u5a4a\u5144)\u5085  \u65af  \u5e73\u4e2d \u83ef \u6c11 \u56fd (R.O.C)  6 6\u5e74 \u6b21 \u8a95 \u8fb0 \u65bc \u53f0 \u6e7e (Taiwan )\u516c \u5143 1992 \u5e74\u53c3 \u52a0 \u5168 \u56fd \u9ad8 \u7d1a \u4e2d \u5b66  \u806f \u8003\u9ad8\u5206\u9304\u53d6\u53f0\u5317\u5e02\u7acb\u5efa\u56fd\u9ad8\u7d1a\u4e2d\u5b66(\u5168\u53f0\u7b2c\u4e00\u5b78\u5e9c)\u516c \u51431995\u5e74\u5efa\u4e2d\u5352\u696d ;\u53c3\u52a0\u5927\u5b66\u806f\u62db\u8003\u53d6\u56fd\u7acb\u53f0\u6e7e\u5e2b\u7bc4\u5927\u5b66\u7269\u7406\u5b66\u7cfb\u516c \u51431999\u5e74\u5f9e\u53f0\u5e2b\u5927\u5352\u696d\u53c3\u52a0\u53f0\u5317\u5e02\u5340(\u78a9\u58eb\u73ed)\u61c9\u8a66\u8003\u53d6\u56fd\u7acb\u53f0\u6e7e\u5927\u5b66(NTU)(\u7269\u7406\u5b66)\u7cfb <\u78a9\u58eb\u73ed>\u78a9\u58eb\u751f\u516c\u51432001\u5e74\u53f0\u5927\u78a9\u58eb\u5352\u696d;\u518d\u5ea6\u8003\u53d6\u4e8c\u985e\u7d44\u7269\u7406\u5b66\u535a\u58eb\u73ed\u62db\u8003\u8003\u53d6\u56fd\u7acb\u53f0\u6e7e\u5927\u5b66(NTU)\u535a\u58eb\u73ed\u8003\u8a66\u7b2c\u4e00\u5fd7\u9858\u8003\u53d6\u56fd\u7acb\u53f0\u6e7e\u5927\u5b66(NTU)\u7269\u7406\u5b66\u7cfb\u535a\u58eb\u73ed\u8cc7\u683c\u516c\u51432003\u5e74\u535a\u58eb\u73ed\u8df3\u4e00\u7d1a\u63d0\u65e9\u5b8c\u6210\u53f0\u5927\u7269\u7406\u5b66\u7cfb\u535a\u58eb\u5b66\u4f4d&\u6c42\u5b66\u751f\u6daf\u66fe\u6b77\u4efb\u65b0\u7af9\u79d1\u5b66\u5712\u5340\u7af9\u79d1\u5de5\u7a0b\u5e2b\u73fe\u4efb\u570b\u4e2d\u7269\u7406\u5b66\u7cfb\u5408\u683c\u6559\u5e2b\u512a\u826f\u8a55\u9451\u6211\u5802\u54e5\u4e4b\u69ae\u8b7d\u73fe \u5e74 39 \u6b72(\u55ae\u8eab)Daniel Liu. \nShow moreShow less";null;N T U \u53f0\u5927 <\u7269 \u7406 \u7cfb> \u535a\u58eb\u73ed\u5352\u696d \u73fe\u4efb : \u56fd \u6c11 \u4e2d \u5b66 <\u7269\u7406\u5b66> \u6559\u5e2b ( \u6211\u5802\u54e5 : \u5085 \u65af \u5e73 );null
%E7%B4%AB%E4%BB%B2-%E3%81%84-%E3%81%A1-%E5%8A%89-8121995a;3;53-00-5317-05-02-04-02-05-71-5340-5409-6797-570-06-11-05-00-05-66-6821-9577-734-667-80-02-734;null;19-07-2002;"\u5409   \u6797   \u570b   \u5c0f   < \u6821   \u9577   \u734e >\u5289   \u7d2b\u4ef2\u7cfb   \u672c   \u6821   \u4e5d   \u5341   \u5b78   \u5e74   \u5ea6   \u7562   \u696d   \u751f;\u5728   \u6821   \u671f   \u9593   \u52e4   \u596e   \u597d   \u5b78   \u8868   \u73fe   \u512a   \u7570   \u6b8a   \u582a   \u5609   \u8a31   \u7279   \u9812   \u734e   \u72c0   \u4ee5   \u8cc7   \u9f13   \u52f5\u6b64   \u72c0 \u5409   \u6797   \u570b   \u5c0f   \u6821   \u9577   :\u5f35   \u91d1   \u8abf   \u9812   \u767c\u4e2d   \u83ef   \u6c11   \u570b   \u4e5d   \u5341   \u4e00   \u5e74   \u516d   \u6708   \u5341   \u4e5d   \u65e5";null;\u5f35   \u91d1   \u8abf   \u6821   \u9577;null
%E7%B4%AB%E4%BB%B2-%E3%81%84-%E3%81%A1-%E5%8A%89-8121995a;4;632-8208-529-52-04-08-306-305-3081-306-72-05-00-05-04-5354-04-01-79-01-306-7236-306-540-08-89;null;14-12-2000;<i>\u540c\u3058\u5e74\u306b\u7236\u304c\u512a\u79c0\u8cde\u3092\u53d7\u8cde\u3057\u305f\u72ac\u5c0f\u5c4b\u5f7c\u306e\u30a2\u30a4\u30c7\u30f3\u30c6\u30a3\u30c6\u30a3\u306f\u5f7c\u306e\u305f\u3081\u306b\u5354\u4f1a\u306e\u30a8\u30b0\u30bc\u30af\u30c6\u30a3\u30d6\u30c7\u30a3\u30ec\u30af\u30bf\u30fc\u3067\u3042\u308b\u79c1\u306f\u611f\u5fc3\u3057\u3066\u3044\u3063\u3071\u3044\u3067\u3059\u5149\u6804\u3067\u3059\uff01<ii>My father in the same year won the merit award Kennel his identity is executive director of the Association for him is an honor I am filled with admiration !;null;\u30b1\u30f3\u30cd\u30eb\u4f1a\u9577 : \u9673 \u660e\u9032 \u4f1a\u9577 \u516c\u5143 2000 Years 11/14;null
%E7%B4%AB%E4%BB%B2-%E3%81%84-%E3%81%A1-%E5%8A%89-8121995a;5;04-02-83-06-11-56-07-43-7403-5354-04-01-07-01-88-01-5224-08-07-683-6211-04-07-5144-5468-6636-05-07-80-05-74-04-03-7532-07-44-7403-54-01;null;01-02-1999;\u4e7e\u5144:\u5468\u6636\u5fd7\u73fe\u5e7440\u6b72 , \u6c11\u56fd\u9678\u62fe\u9678\u5e74(66)\u5e74\u6b21\u6614\u65e5\u7684CBA \u7532\u7d44 \u7c43\u7403\u54e1\u4eca\u671d\u8003\u53d6R.O.C / C.T.B.A < C > \u7d1a \u88c1\u5224\u8b49\u66f8 C\u7d1a\u6559\u7df4\u8cc7\u683c\u73fe\u4efb\u7684CTBA\u696d\u9918\u7c43\u7403C\u7d1a\u6559\u7df4C .T .B .A Basketball  C-class  referee certificate.;null;C B A & \u53f0 \u9280 \u7532 \u7d44 \u9000 \u4efb \u7403 \u54e1;null
%E7%B4%AB%E4%BB%B2-%E3%81%84-%E3%81%A1-%E5%8A%89-8121995a;6;53-00-5317-05-02-04-02-05-71-5340-5409-6797-570-06-11-05-00-05-66-04-08-05-74-07-01-04-94-73-9032-06-65-734;null;30-07-1998;"\u53f0   \u5317   \u5e02   \u7acb   \u5409   \u6797   \u570b   \u6c11   \u5c0f   \u5b66   \u672c   \u6821\u4e8c   \u5e74   \u7d1a  O    \u4e94   \u73ed\u5b78   \u751f   \u5289   \u7d2b\u4ef2 \u516b   \u5341   \u516d    \u5b66   \u5e74   \u5ea6   \u7b2c   \u4e8c   \u5b66   \u671f   \u8868   \u73fe   \u512a   \u7570   \u6b8a\u582a\u5609\u8a31\u7279\u7d66\u734e\u72c0\u4ee5\u8cc7\u9f13\u52f5(   \u9032   \u6b65   \u734e   )\u6b64     \u72c0 \u53f0   \u5317   \u5e02  \u4e2d   \u5c71   \u5340   \u5409   \u6797   \u570b   \u6c11   \u5c0f   \u5b66   ;\u6821   \u9577    \u9ec3   \u6fdf   \u5fb7 \u4e2d   \u83ef   \u6c11   \u570b\u516b   \u5341   \u4e03   \u5e74   \u516d   \u6708   \u4e09   \u5341   \u65e5";null;\u5409   \u6797   \u570b   \u5c0f   \u6821   \u9577   \u9ec3   \u6fdf   \u5fb7;null
%E7%B4%AB%E4%BB%B2-%E3%81%84-%E3%81%A1-%E5%8A%89-8121995a;7;96-07-04-01-78-09-58-05-78-04-04;null;01-02-1998;"\u6211\u7684\u65c1\u7cfb\u8840\u89aa \u5802\u59ca: ( \u5085 \u65af \u5a77 ) \u59d1\u5abd : ( \u5289 \u9e97 \u9cf3)< My Father 's Sister > \u5973\u5152 : \u5085 \u65af \u5a77 ( \u5085 \u5bb6 )\u59d1\u4e08 : \u5085 \u5efa \u83ef \u6559\u4e0d\u56b4 ; \u5e2b\u4e4b\u60f0 \u5b50\u4e0d\u5b5d ; \u7236\u6bcd\u904e\u5085\u5bb6\u5bb6\u8a13\u5085 \u65af \u5a77 (\u5c0f\u5a77\u5802\u59ca) \u5085 \u65af \u5e73 (\u6211\u5802\u54e5\u4e4b\u59b9\u59b9)\u5b66\u5386\u751f\u6daf:\u53f0\u5317\u5e02\u7acb\u7b2c\u4e00\u5973\u5b50\u9ad8\u7d1a\u4e2d\u5b66(\u4e00\u5973\u4e2d\u5352\u4e1a)\u56fd\u7acb\u653f\u6cbb\u5927\u5b66 \u5916\u6587\u7cfb \u7b2c\u4e00\u5fd7\u9858 \u5352\u4e1a\u7559\u5b66 UK University of Reading ( \u96f7\u6c40\u5927\u5b66)\u78a9\u58eb\u5352\u4e1a\u53f0\u5317\u5e02\u7acb\u6566\u5316\u56fd\u6c11\u5c0f\u5b66\u5352\u4e1a\u53f0\u5317\u5e02\u7acb\u6566\u5316\u56fd\u6c11\u4e2d\u5b66\u5352\u4e1a<\u6566 \u4e2d>\u8acb\u9818\u53f0\u5317\u5e02\u653f\u5e9c\u734e\u72c0\u5352\u4e1a\u5176\u4ed6\u8cc7\u8a0a\u4e0d\u4fbf\u516c\u958b\u6211\u5802(\u5a4a\u59ca)\u4e4b\u69ae\u8b7d\u653f\u5927EMBADanielLiu.";null;\u56fd\u7acb\u653f\u6cbb\u5927\u5b66E M B A \u53cc\u78a9\u58eb \u6211<\u5a4a\u59ca> (\u5085 \u65af \u5a77);null
%E7%B4%AB%E4%BB%B2-%E3%81%84-%E3%81%A1-%E5%8A%89-8121995a;8;;null;25-04-1996;Letter    of   Appointment ( \u4efb \u547d \u306e \u624b \u7d19 ) \u8058 \u66f8 :Shepherdstown   Hire :Your  Access  Will  be  Based  Consultant This   Appointment :\u5289  \u9326\u9686 \u3055\u3093R. O. C.   Kennel   Club Taiwan  Shiba   Club President :\u9673 \u4ec1\u658c R. O. C. 9 5 / 3  / 2  5;null;Taiwan  Shiba   Inu  Club  President  : \u9673  \u4ec1  \u658c;null
%E7%B4%AB%E4%BB%B2-%E3%81%84-%E3%81%A1-%E5%8A%89-8121995a;9;;null;18-04-1996;< \u4efb \u547d \u5317 \u90e8 \u72ac \u30af \u30e9 \u30d6 \u306e K. C. T. \u306e \u624b \u7d19 >K. C. T.  Northern   dogs    Club(95\u53f0\u755c\u5317\u6587\u8058\u5b57\u7b2c001\u865f)Letter   of    Appointment :Shepherdstown   Hire:\u5289 \u9326\u9686 \u70ba\u672c\u90e8\u4f1a \u5275\u4f1a\u540d\u8a89\u9867\u554f ( Honorary  Advisor )This Appointment :\u4f1a\u9577 \u6797 \u4e9e\u8380R. O. C. 95   /    3    /18  Two-year   Term.;null;K. C. T.  North   Club   President    Dogs : \u6797   \u4e9e\u8380;null
%E7%B4%AB%E4%BB%B2-%E3%81%84-%E3%81%A1-%E5%8A%89-8121995a;10;56-07-6843-5712-09-08-07-01-04-02-05-66-6843-04-02-5973-05-50-06-38-06-03-6821-968-56-9762-91-01-724-6843-04-02-09-04-80-02-73-69-08-07;null;01-02-1977;"My Mom 's Honor (I):\u5b66 \u5386 :\u6843\u5712\u7e23\u694a\u6885\u93ae(\u516c\u7acb)\u745e\u57d4\u570b\u6c11\u5c0f\u5b66\u5352\u4e1a\u6843\u5712\u7e23 (\u7e23 \u9577 \u734e)\u6843\u5712\u7e23\u7acb\u4ec1\u7f8e\u56fd\u6c11\u4e2d\u5b66\u5352\u4e1a\u694a\u6885\u93ae (\u93ae \u9577 \u734e)\u7531\u65bc\u9ad4\u80b2\u6210\u7e3e\u52a0\u4e0a\u70ba\u672c\u6821\u722d\u5149\u7279\u5225\u7d66\u4e88\u529f\u52de ;\u4f9d\u64da\u7acb\u6cd5\u5c0d\u65bc\u9ad4\u80b2\u751f\u4fdd\u9001\u4e4b\u76f8\u95a2\u6cd5\u898f \u4fdd\u9001\u5b89\u7f6e\u65bc\u53f0\u6e7e\u7701\u7acb\u6843\u5712\u9ad8\u7d1a\u4e2d\u5b66 < \u7576\u5e74\u5c1a\u672a\u5ee2\u7701 \u4e4b \u7701\u6843\u4e2d >\u4eca\u4e4b\u56fd\u7acb\u6843\u5712\u9ad8\u7d1a\u4e2d\u5b66\u9ad4 \u80b2 \u73ed\u65bc\u516c\u51431980\u5e74\u5352\u4e1a\u69ae\u7372 \u5f53\u5e74\u6843\u4e2d\u4e4b\u5149\u69ae\u8207\u69ae\u8b7dMy Mom 's Honor < \u6211\u6bcd\u89aa\u4e4b\u69ae\u8000 >Daniel Liu.";null;My mother 's Honor;null
%E7%B4%AB%E4%BB%B2-%E3%81%84-%E3%81%A1-%E5%8A%89-8121995a;11;04-02-83-06-11-56-04-00-62-53-01-05-74-5143-6708-62-04-00-65-05-81-5317-05-02-05-06-05-73-5340-592-05-73-56-06-11-05-78-6821-81-5317-05-02-05-02-9577-734-6211-7684-05-00-04-02-7236;null;15-02-1964;\u81fa\u5317\u5e02\u653f\u5e9c\u734e\u72c0\u59d3\u540d: \u5289\u5fb7\u5764\u7562\u696d\u5b78\u6821:\u81fa\u5317\u5e02\u5ef6\u5e73\u5340\u592a\u5e73\u56fd\u6c11\u5b78\u6821\u5e74\u7d1a:\u516d\u7537\u8f9b\u67e5\u8a72\u751f\u7d93\u9078\u70ba\u4f0d\u62fe\u8cb3\u5b78\u5e74\u5ea6\u7b2c\u4e00\u5b78\u671f\u672c\u5e02\u5340\u56fd\u6c11\u5b78\u6821\u6a21\u7bc4\u5b78\u751f\u7279\u7d66\u734e\u72c0\u4ee5\u8cc7\u9f13\u52f5\u6b64\u72c0 \u5e02\u9577 \u9ec3\u555f\u745e\u4e2d\u83ef\u6c11\u56fd\u4f0d\u62fe\u53c1\u5e74\u5143\u6708\u62fe\u4f0d\u65e5\u81fa\u5317\u5e02\u7acb\u6210\u6df5\u521d\u7d1a\u4e2d\u5b78\u7562\u696d\u96fb\u6a5f\u5de5\u7a0b\u7532\u7d1a\u8077\u696d\u7167\u8003 \u8003\u53d6\u4e2d\u83ef\u6c11\u56fd\u5c08\u5229\u7279\u6b0a\u6211\u4e8c\u4f2f\u7236\u4e4b\u69ae\u8b7d;null;\u4e2d\u83ef\u6c11\u56fd\u4f0d\u62fe\u53c1\u5e74\u81fa\u5317\u5e02\u5e02\u9577 \u9ec3\u555f\u745e;null
aakanksha-pant-2100801a;1;01;Singapore;24-08-2015;null;null;null;null
%E8%B6%85-%E6%9D%8E-82b509112;1;5370-5237-08-5907;null;01-02-2017;A new design of printing equipment to prevent printing surface uneven;null;I564636;"https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Ftwpat%2Etipo%2Egov%2Etw&amp;urlhash=rTRh&trk=public_profile_patent-title"
%E8%B6%85-%E6%9D%8E-82b509112;2;;null;null;null;null;null;null
%E8%B6%85-%E6%9D%8E-82b509112;3;;null;null;null;null;null;null
4abhinavjain;1;;null;null;null;null;null;null
aaron-chua-kim-koon-5ab912;1;;null;16-06-2018;null;null;AS820170005US01;null
%E6%80%A1%E7%92%87-%E6%9D%8E-049485137;1;;null;27-08-2010;null;null;ZL 2010 2 0271495.9;null
1800-call-gary-lo;1;02;null;24-12-2008;null;null;8498887;"https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fpatft%2Euspto%2Egov%2Fnetacgi%2Fnph-Parser%3FSect1%3DPTO1%26Sect2%3DHITOFF%26d%3DPALL%26p%3D1%26u%3D%252Fnetahtml%252FPTO%252Fsrchnum%2Ehtm%26r%3D1%26f%3DG%26l%3D50%26s1%3D8498887%2EPN%2E%26OS%3DPN%2F8498887%26RS%3DPN%2F8498887&amp;urlhash=4s4G&trk=public_profile_patent-title"
906384170;1;03-04-09-514-529-9762-677-7684-5236-04-05-65-09-06-05-3001-03-04-09-514-529-9762-677-53-07-07-08-03-05-04-5185-673;null;null;null;null;null;null
906384170;2;51-98-6846-3001-51-98-6846-07-04-04-06-53-58-01-6302-05-00-07-07-08-03-05-04-5185-673;null;null;null;null;null;null
906384170;3;51-98-6846-3001-51-98-6846-07-04-04-06-53-58-01-6302-05-00-07-07-08-03-05-04-5185-673;null;null;null;null;CN201620605097.3;null
906384170;4;58-01-6302-05-00-07-07-08-03-05-04-5185-673;null;null;null;null;null;null
906384170;5;58-01-6302-05-00-07-07-08-03-05-04-5185-673;null;null;null;null;CN201620604907.3;null
906384170;6;58-01-6302-05-00-07-07-08-03-05-04-5185-673-53-07-07-08-03-5668;null;null;null;null;201620249967.8;null
906384170;7;58-01-6302-05-00-07-07-08-03-05-04-5185-673-53-07-07-08-03-5668;null;null;null;null;201620598367.2;null
906384170;8;58-01-6302-05-00-07-07-08-03-05-04-5185-673-53-07-07-08-03-5668;null;null;null;null;201620249969.7;null
906384170;9;05-04-5185-673-04-05-53-07-07-08-03-5668;null;null;null;null;null;null
906384170;10;05-95-76-08-07-04-04-06-548-5177-6709-5176-7684-07-07-08-03-5668;null;null;null;null;null;null
906384170;11;05-95-76-08-07-04-04-06-548-5177-6709-5176-7684-07-07-08-03-5668;null;null;null;null;null;null
906384170;12;667-80-08-97-03-76-02;null;null;null;null;null;null
906384170;13;667-80-08-97-03-76-02;null;null;null;null;201720870391.1;null
906384170;14;7528-04-08-07-07-08-03-05-04-5185-673-7684-07-02-5916-6444-50-5934-53-58-01-6302-05-00-07-07-08-03-05-04-5185-673;null;null;null;null;201620249556.9;null
906384170;15;07-07-08-03-5668-3001-07-07-08-03-5668-7684-63-07-5236-65-09-06-05-53-05-58-50-08-04-08-28;null;null;null;null;null;null
906384170;16;07-07-08-03-5668-3001-07-07-08-03-5668-7684-63-07-5236-65-09-06-05-53-05-58-50-08-04-08-28;null;null;null;null;null;null
906384170;17;07-07-08-03-5668-3001-07-07-08-03-5668-7684-63-07-5236-65-09-06-05-53-05-58-50-08-04-08-28;null;null;null;null;null;null
906384170;18;07-07-08-03-5668-7684-05-98-677-07-04-04-06-53-5177-6709-5176-7684-07-07-08-03-5668;null;null;null;null;null;null
906384170;19;07-07-08-03-5668-7684-9762-677-3001-58-03-04-53-07-04-04-06-53-07-07-08-03-5668;null;null;null;null;null;null
906384170;20;07-07-08-03-5668-7684-9762-677-3001-58-03-04-53-07-04-04-06-53-07-07-08-03-5668;null;null;null;null;null;null
906384170;21;07-07-08-03-05-04-5185-673;null;null;null;null;201620876207.X;null
906384170;22;07-07-08-03-05-04-5185-673;null;null;null;null;null;null
906384170;23;07-07-08-03-05-04-5185-673;null;null;null;null;null;null
906384170;24;07-07-08-03-05-04-5185-673;null;null;null;null;null;null
906384170;25;07-07-08-03-05-04-5185-673;null;null;null;null;null;null
906384170;26;07-07-08-03-05-04-5185-673;null;null;null;null;null;null
906384170;27;07-07-08-03-05-04-5185-673-53-07-07-08-03-5668;null;null;null;null;null;null
906384170;28;07-07-08-03-05-04-5185-673-53-07-07-08-03-5668;null;null;null;null;null;null
906384170;29;07-07-08-03-05-04-5185-673-53-07-07-08-03-5668;null;null;null;null;null;null
906384170;30;07-07-08-03-05-04-5185-673-53-07-07-08-03-5668;null;null;null;null;201720267874.2;null
906384170;31;07-07-08-03-05-04-5185-673-548-5177-6709-5176-7684-07-07-08-03-5668;null;null;null;null;201720268912.6;null
906384170;32;07-07-08-03-05-04-5185-673-548-5177-6709-5176-7684-07-07-08-03-5668;null;null;null;null;null;null
906384170;33;07-07-08-03-05-04-5185-673-548-07-07-08-03-5668;null;null;null;null;CN201620605328.0;null
906384170;34;07-07-08-03-05-04-5185-673-548-07-07-08-03-5668;null;null;null;null;null;null
906384170;35;07-07-08-03-05-04-5185-673-548-07-07-08-03-5668;null;null;null;null;null;null
906384170;36;07-07-08-03-05-04-5185-673-58-03-04-53-53-58-01-6302-05-00-07-07-08-03-05-04-5185-673;null;null;null;null;CN201620598753.1;null
906384170;37;07-07-08-03-05-04-5185-673-58-03-04-53-53-58-01-6302-05-00-07-07-08-03-05-04-5185-673;null;null;null;null;null;null
906384170;38;07-07-08-03-05-04-5185-673-58-03-04-53-53-58-01-6302-05-00-07-07-08-03-05-04-5185-673;null;null;null;null;null;null
906384170;39;07-07-08-03-05-04-5185-673-7684-7535-5668-76-06-677-3001-07-07-08-03-05-04-5185-673-548-07-07-08-03-5668;null;null;null;null;null;null
906384170;40;07-07-08-03-05-04-5185-673-7684-7535-63-07-76-02-3001-07-07-08-03-05-04-5185-673-548-07-07-08-03-5668;null;null;null;null;null;null
906384170;41;07-07-08-03-05-04-5185-673-7684-7535-63-07-76-02-3001-07-07-08-03-05-04-5185-673-548-07-07-08-03-5668;null;null;null;null;null;null
906384170;42;07-07-08-03-6302-673;null;null;null;null;null;null
906384170;43;07-07-08-03-6302-673;null;null;null;null;null;null
906384170;44;07-07-08-03-6302-673;null;null;null;null;201621100790.1;null
906384170;45;07-07-08-03-6302-673;null;null;null;null;null;null
906384170;46;07-07-08-03-67-673-7684-58-03-04-53-07-04-04-06-3001-07-07-08-03-67-673-53-9762-677-07-04-04-06-7684-52-00-05-05-65-09-06-05;null;null;null;null;null;null
906384170;47;07-07-08-03-67-673-7684-58-03-04-53-07-04-04-06-53-07-07-08-03-67-673;null;null;null;null;201720268856.6;null
906384170;48;88-05-9970-07-04-04-06-53-07-07-08-03-5668;null;null;null;null;null;null
906384170;49;08-02-06-41-98-08-06-3001-07-07-08-03-05-04-5185-673-53-07-07-08-03-5668;null;null;null;null;201720268802.X;null
906384170;50;08-02-06-41-98-08-06-3001-07-07-08-03-05-04-5185-673-53-07-07-08-03-5668;null;null;null;null;null;null
906384170;51;09-07-08-06-04-20-52-08-07-04-04-06-53-07-07-08-03-5668;null;null;null;null;201620526337.0;null
%E6%9E%9C-%E6%9D%8E-340951100;1;04-20-611-5668;China;01-06-2015;null;null;null;null
aaron-chen-li-64465115;1;;cn;null;null;null;null;http://N/A
abbyngpekkuan;1;;null;31-01-2014;null;null;MY-150352-A;null
fouadadouani;1;;null;null;null;null;null;null
pauljamesdavies;1;;United States;05-12-2017;A system and method are presented that provide authentication tokens to a local device from a remote server.;9,838,387;9,838,387;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%%2Fnetahtml%%2FPTO%%2Fsearch-bool.html&r=1&f=G&l=50&co1=AND&d=PTXT&s1=9,838,387.PN.&OS=PN/9,838,387&RS=PN/9,838,387
pauljamesdavies;2;;United States;09-07-2013;"A system and method for distributing processing utilizing message queues as a method of distributing binary objects as \""messages\"" and invoking the embedded logic of the received message to perform a portion of a distributed application is disclosed.";8,484,659;8,484,659;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%%2Fnetahtml%%2FPTO%%2Fsearch-bool.html&r=1&f=G&l=50&co1=AND&d=PTXT&s1=8,484,659.PN.&OS=PN/8,484,659&RS=PN/8,484,659
ghyslain-gagnon-ba108012;1;;United States;29-04-2013;There is described a system to measure the electrical consumption of a household. This system consists of a network of measuring devices that are attached to wires between electrical appliances and circuit breakers and of a communication and processing unit that receives measurement data from the measuring devices. Low precision sensors based on the Hall effect may be used for obtaining precise measurements of energy consumption by providing a casing for the measuring devices that ensures a fixed, known, and precise alignment with respect to the wire to which it is attached. Low precision sensors based on the Hall effect may also be used by performing a correction calibration of measured data.;null;null;https://www.google.com/patents/US20150123654
ghyslain-gagnon-ba108012;2;;Canada;30-08-2011;There is described a system for measuring energy consumption of individual electrical devices amongst a plurality of electrical devices. The system is adapted to determine in real time energy consumption while reducing its own consumption of energy by adjusting a transmission rate between status sensing devices and a consumption evaluation device. The transmission rate is adjusted as a function of learned energy consumption habits and/or consumption characteristics of individual electrical devices.;null;null;http://www.google.com/patents/WO2012027844A1?cl=en
catherinechambers;1;;United States;13-02-2020;"Systems, methods, and storage media implemented by a computer for enabling tracking of software are disclosed. Exemplary implementations may: receive marking input code corresponding to a computer program; identify locations of the marking input code that can be modified in ways that preserve functionality of the computer program; choose at least one code transformation with associated intrinsic constants; derive derived constants from the specific intrinsic constants; apply the at least one chosen code transformation, including injecting the derived constants into the marking input code; saving the results of the above steps on computer readable media as marked code; and save metadata including a list of the derived constants on computer readable media in a file that is separate from the marked code.";10762179;10762179;http://patft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%%2Fnetahtml%%2FPTO%%2Fsrchnum.htm&r=1&f=G&l=50&s1=10762179.PN.&OS=PN/10762179&RS=PN/10762179
catherinechambers;2;;Other;14-12-2016;"A method for securing a webpage or a webapp processed by a browser executing on a client system, the method comprising the browser executing an instance of white-box protected code, wherein execution of the instance of white-box protected code causes the client system to: generate a message comprising message data for use by a control system to perform one or more security tests, the control system communicably connected to the client system via a network; send the message to the control system to enable the control system to perform the one or more security tests using the message data; receive a response from the control system based, at least in part, on the message; and process the response.";null;null;https://encrypted.google.com/patents/WO2017102880A1?cl=en
catherinechambers;3;;Other;28-03-2013;There are described methods and apparatus for scrambling digital content, such as video or audio content, by dividing the digital content into blocks set out in an original arrangement, and reordering the blocks from the original arrangement to a scrambled arrangement. Additional manipulation transforms such as rotations and reflections may be applied to individual blocks. A subsequent compression step may then be carried out. Methods and apparatus for carrying out corresponding descrambling of digital content are also described.;null;null;http://www.google.ca/patents/WO2014154288A1?cl=en
kelly-stegman-brooks-phd-12bb8680;1;;# 61/841,156;null;null;null;null;null
kelly-stegman-brooks-phd-12bb8680;2;;14058022;null;null;null;null;null
ruth-beyerlein-20939327;1;;United States;02-04-2002;null;6366985;6366985;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%%2Fnetahtml%%2FPTO%%2Fsrchnum.htm&r=1&f=G&l=50&s1=6366985.PN.&OS=PN/6366985&RS=PN/6366985
